module;pmpp;month
Module 1,1_9;160,72672380228232;August_2019
String 1,1;161,00548644536056;August_2019
Module 1,1_2;158,1011807505417;August_2019
Module 1,1_3;160,7539153231042;August_2019
Module 1,1_4;159,60119979582765;August_2019
Module 1,1_5;175,85542719867388;August_2019
Module 1,1_6;162,81205382517822;August_2019
Module 1,1_7;164,5125564573137;August_2019
Module 1,1_8;162,90385129871044;August_2019
Module 1,1_1;161,23527086961096;August_2019
Module 1,1_10;163,87593722921054;August_2019
Module 1,1_11;166,82179546326154;August_2019
Module 1,1_12;171,03758080012386;August_2019
Module 1,1_13;163,8954826590718;August_2019
Module 1,1_14;163,62274524723273;August_2019
Module 1,1_15;166,27425832141313;August_2019
Module 1,1_16;166,89016667194196;August_2019
Module 1,1_17;173,5836797112837;August_2019
Module 1,1_18;175,15025035348177;August_2019
