module;pmpp;month
Module 1,1_9;160,72672380228232;August_2019
String 1,1;161,00548644536056;August_2019
Module 1,1_2;158,1011807505417;August_2019
Module 1,1_3;160,7539153231042;August_2019
Module 1,1_4;159,60119979582765;August_2019
Module 1,1_5;175,85542719867388;August_2019
Module 1,1_6;162,81205382517822;August_2019
Module 1,1_7;164,5125564573137;August_2019
Module 1,1_8;162,90385129871044;August_2019
Module 1,1_1;161,23527086961096;August_2019
Module 1,1_10;163,87593722921054;August_2019
Module 1,1_11;166,82179546326154;August_2019
Module 1,1_12;171,03758080012386;August_2019
Module 1,1_13;163,8954826590718;August_2019
Module 1,1_14;163,62274524723273;August_2019
Module 1,1_15;166,27425832141313;August_2019
Module 1,1_16;166,89016667194196;August_2019
Module 1,1_17;173,5836797112837;August_2019
Module 1,1_18;175,15025035348177;August_2019
Module 1,10_9;166,90086833000836;August_2019
String 1,10;181,07317144572647;August_2019
Module 1,10_2;174,22631905591376;August_2019
Module 1,10_3;176,98977588781665;August_2019
Module 1,10_4;171,90513608647163;August_2019
Module 1,10_5;180,6533758777651;August_2019
Module 1,10_6;170,5540640168644;August_2019
Module 1,10_7;163,95272952589718;August_2019
Module 1,10_8;174,8423291330683;August_2019
Module 1,10_1;176,62923294831643;August_2019
Module 1,10_10;171,73855413249407;August_2019
Module 1,10_11;170,5603069138395;August_2019
Module 1,10_12;175,66238887272323;August_2019
Module 1,10_13;169,28512349250488;August_2019
Module 1,10_14;168,26843924890903;August_2019
Module 1,10_15;166,02613666705602;August_2019
Module 1,10_16;170,5540640168644;August_2019
Module 1,10_17;182,06484436995026;August_2019
Module 1,10_18;178,2262382959441;August_2019
Module 1,11_9;177,90940619434662;August_2019
String 1,11;169,4160483138338;August_2019
Module 1,11_2;173,97056043945219;August_2019
Module 1,11_3;176,48454253797226;August_2019
Module 1,11_4;174,72181338614345;August_2019
Module 1,11_5;177,75500894082413;August_2019
Module 1,11_6;175,1617486010472;August_2019
Module 1,11_7;174,167585892192;August_2019
Module 1,11_8;172,2401580494316;August_2019
Module 1,11_1;175,46032321089703;August_2019
Module 1,11_10;179,28669100432023;August_2019
Module 1,11_11;179,48590882274937;August_2019
Module 1,11_12;175,5249423301785;August_2019
Module 1,11_13;174,12280028158543;August_2019
Module 1,11_14;174,3969743992791;August_2019
Module 1,11_15;170,24429293390764;August_2019
Module 1,11_16;177,7057970568611;August_2019
Module 1,11_17;176,87671223657847;August_2019
Module 1,11_18;176,06333107142262;August_2019
Module 1,12_9;180,48530526738924;August_2019
String 1,12;182,28853449526335;August_2019
Module 1,12_2;175,3872264342879;August_2019
Module 1,12_3;176,3225228728293;August_2019
Module 1,12_4;176,17092129792772;August_2019
Module 1,12_5;181,12189378310396;August_2019
Module 1,12_6;181,81244441797608;August_2019
Module 1,12_7;177,41578192925945;August_2019
Module 1,12_8;175,87575660554094;August_2019
Module 1,12_1;179,95748814441245;August_2019
Module 1,12_10;178,21351043642167;August_2019
Module 1,12_11;178,7526170498252;August_2019
Module 1,12_12;178,40227118424534;August_2019
Module 1,12_13;176,55492166055512;August_2019
Module 1,12_14;176,2021577064638;August_2019
Module 1,12_15;176,4548444012739;August_2019
Module 1,12_16;175,63682040446284;August_2019
Module 1,12_17;177,3462137687384;August_2019
Module 1,12_18;177,75716774995797;August_2019
Module 1,2_9;180,07384968270463;August_2019
String 1,2;185,14848114250967;August_2019
Module 1,2_2;181,23316248312634;August_2019
Module 1,2_3;179,89628061026153;August_2019
Module 1,2_4;180,83036758363556;August_2019
Module 1,2_5;184,23211251371464;August_2019
Module 1,2_6;182,34766620431552;August_2019
Module 1,2_7;182,6155109462314;August_2019
Module 1,2_8;178,19015518511029;August_2019
Module 1,2_1;180,1152041840377;August_2019
Module 1,2_10;181,9490490000523;August_2019
Module 1,2_11;179,15243463651086;August_2019
Module 1,2_12;177,4011808561547;August_2019
Module 1,2_13;179,61994132516534;August_2019
Module 1,2_14;178,10933519890042;August_2019
Module 1,2_15;179,74613715628035;August_2019
Module 1,2_16;182,7638632375698;August_2019
Module 1,2_17;176,6898994611157;August_2019
Module 1,2_18;179,20848244548327;August_2019
Module 1,3_9;181,95725563328116;August_2019
String 1,3;176,28322723143427;August_2019
Module 1,3_2;183,10637680023558;August_2019
Module 1,3_3;181,71427214014003;August_2019
Module 1,3_4;183,03978637873146;August_2019
Module 1,3_5;177,339496279359;August_2019
Module 1,3_6;179,2202585537255;August_2019
Module 1,3_7;183,36355659364867;August_2019
Module 1,3_8;180,11143526381105;August_2019
Module 1,3_1;183,99348045727046;August_2019
Module 1,3_10;179,11673240479536;August_2019
Module 1,3_11;180,8642981526372;August_2019
Module 1,3_12;180,69313620291157;August_2019
Module 1,3_13;179,07794124897563;August_2019
Module 1,3_14;177,31353586919002;August_2019
Module 1,3_15;173,232025030841;August_2019
Module 1,3_16;180,25846599956125;August_2019
Module 1,3_17;176,5169004995985;August_2019
Module 1,3_18;176,38027732009823;August_2019
Module 1_4_9;180,4361029785078;August_2019
String 1,4;187,8849400663896;August_2019
Module 1_4_2;180,73043318973967;August_2019
Module 1_4_3;172,38560967861648;August_2019
Module 1_4_4;182,96245457401207;August_2019
Module 1_4_5;188,6710092573874;August_2019
Module 1_4_6;176,16462026067921;August_2019
Module 1_4_7;180,4478496305874;August_2019
Module 1_4_8;189,9658053521885;August_2019
Module 1_4_1;212,28839190540157;August_2019
Module 1_4_10;180,38588036765364;August_2019
Module 1_4_11;182,1428855688571;August_2019
Module 1_4_12;181,21462882179375;August_2019
Module 1_4_13;175,89244395261224;August_2019
Module 1_4_14;172,70813277821733;August_2019
Module 1_4_16;178,58144784838208;August_2019
Module 1_4_17;176,7591073565804;August_2019
Module 1_4_18;181,7894177334416;August_2019
Module 1,5_9;180,02557351186186;August_2019
String 1,5;171,81302176404293;August_2019
Module 1,5_2;166,15387661877614;August_2019
Module 1,5_3;169,89786458716864;August_2019
Module 1,5_4;180,46461977485737;August_2019
Module 1,5_5;180,8612160944731;August_2019
Module 1,5_6;181,91027815100736;August_2019
Module 1,5_7;172,22888567081233;August_2019
Module 1,5_8;179,25701223524814;August_2019
Module 1,5_1;180,15266081204325;August_2019
Module 1,5_10;177,6668760485409;August_2019
Module 1,5_11;180,9206265728311;August_2019
Module 1,5_12;179,28801493906062;August_2019
Module 1,5_13;175,0889089229633;August_2019
Module 1,5_14;174,63805372377735;August_2019
Module 1,5_15;179,68090766575395;August_2019
Module 1,5_16;180,28745971032325;August_2019
Module 1,5_17;181,28567769834;August_2019
Module 1,5_18;179,57958368607638;August_2019
Module 1,6_9;180,71495890165417;August_2019
String 1,6;175,79575372330865;August_2019
Module 1,6_2;182,40846217019174;August_2019
Module 1,6_3;177,10381171791096;August_2019
Module 1,6_4;170,34569977268865;August_2019
Module 1,6_5;181,09236621034137;August_2019
Module 1,6_6;183,51436704431532;August_2019
Module 1,6_7;183,13268476245582;August_2019
Module 1,6_8;165,56579725980754;August_2019
Module 1,6_1;174,19117532917184;August_2019
Module 1,6_10;163,04420399367814;August_2019
Module 1,6_11;179,65413531019541;August_2019
Module 1,6_12;181,92591176074143;August_2019
Module 1,6_13;181,12979237573853;August_2019
Module 1,6_14;176,62908303789587;August_2019
Module 1,6_15;178,56674507580652;August_2019
Module 1,6_16;169,06343552630398;August_2019
Module 1,6_17;180,08752481368452;August_2019
Module 1,6_18;174,0658949852944;August_2019
Module 1,7_9;180,8943934699733;August_2019
String 1,7;185,49022127644147;August_2019
Module 1,7_2;175,13534591852186;August_2019
Module 1,7_3;178,85696426918605;August_2019
Module 1,7_4;180,49441174335885;August_2019
Module 1,7_5;182,60519213251456;August_2019
Module 1,7_6;182,01189208188424;August_2019
Module 1,7_7;169,8955816932755;August_2019
Module 1,7_8;182,5784196241031;August_2019
Module 1,7_1;178,57525432601733;August_2019
Module 1,7_10;164,70821593757282;August_2019
Module 1,7_11;179,23620975826444;August_2019
Module 1,7_12;180,27919514708344;August_2019
Module 1,7_13;181,53396967176724;August_2019
Module 1,7_14;179,4750741452492;August_2019
Module 1,7_15;183,11799841851476;August_2019
Module 1,7_16;180,73553540336263;August_2019
Module 1,7_17;180,17213646548237;August_2019
Module 1,7_18;181,31455199830987;August_2019
Module 1,8_9;181,39448904378338;August_2019
String 1,8;177,51251613054745;August_2019
Module 1,8_2;181,34061531744393;August_2019
Module 1,8_3;177,26507779610512;August_2019
Module 1,8_4;174,50624567318866;August_2019
Module 1,8_5;177,51546295296356;August_2019
Module 1,8_6;169,19533572020853;August_2019
Module 1,8_7;176,5026475090376;August_2019
Module 1,8_8;176,40535603461925;August_2019
Module 1,8_1;177,06157176490157;August_2019
Module 1,8_10;177,86605499754256;August_2019
Module 1,8_11;171,99783270552814;August_2019
Module 1,8_12;177,58618401963412;August_2019
Module 1,8_13;0;August_2019
Module 1,8_14;183,10481716443158;August_2019
Module 1,8_15;162,19658790040614;August_2019
Module 1,8_16;172,44144756542042;August_2019
Module 1,8_17;176,96475645859994;August_2019
Module 1,8_18;174,95128369988214;August_2019
Module 1,9_9;166,44048122920265;August_2019
String 1,9;164,7295938164587;August_2019
Module 1,9_2;174,50322654541975;August_2019
Module 1,9_3;175,77053677492006;August_2019
Module 1,9_4;177,48528924840988;August_2019
Module 1,9_5;173,720228642175;August_2019
Module 1,9_6;168,480673913337;August_2019
Module 1,9_7;175,77559618343386;August_2019
Module 1,9_8;180,37431401570564;August_2019
Module 1,9_1;165,4124207822033;August_2019
Module 1,9_10;174,32101814734727;August_2019
Module 1,9_11;168,76559109591574;August_2019
Module 1,9_12;170,6097251199313;August_2019
Module 1,9_13;172,87376571669068;August_2019
Module 1,9_14;178,4299670955993;August_2019
Module 1,9_15;176,71832243170923;August_2019
Module 1,9_16;177,6673895722686;August_2019
Module 1,9_17;165,63086864588496;August_2019
Module 1,9_18;179,6254306163997;August_2019
Module 2,1_9;177,42164032353895;August_2019
String 2,1;182,67925909797904;August_2019
Module 2,1_2;178,05295241918324;August_2019
Module 2,1_3;185,45049417597332;August_2019
Module 2,1_4;183,76425580130478;August_2019
Module 2,1_5;178,19225957015686;August_2019
Module 2,1_6;177,86593216461776;August_2019
Module 2,1_7;176,467544872273;August_2019
