date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 07:07:53;21.3;0;296.6;0.0001;289.1;Module 1_4_5;1.19;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:09:06;20.9;0;296.6;0.0001;289.1;Module 1_4_5;1.12;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:10:21;20.5;0;296.6;0.0001;289.1;Module 1_4_5;1.13;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:11:34;20.3;0;296.6;0.0001;289.1;Module 1_4_5;1.1;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:12:46;20.1;0;296.6;0.0001;289.1;Module 1_4_5;1.01;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:14:04;20.1;0;296.6;0.0001;289.1;Module 1_4_5;1.09;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:15:19;20.3;0;296.6;0.0001;289.1;Module 1_4_5;1.09;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:16:31;20.3;0;296.6;0.0001;289.1;Module 1_4_5;1.09;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:17:44;20.3;0;296.6;0.0001;289.1;Module 1_4_5;1.13;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:18:58;20.7;0;296.6;0.0001;289.11;Module 1_4_5;1.39;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:20:21;21.5;0;296.6;0.0001;289.12;Module 1_4_5;1.46;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:22:17;23.2;0;296.6;0.0001;289.15;Module 1_4_5;1.7;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:23:29;24.1;0;297.1;0.0001;289.15;Module 1_4_5;1.62;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:24:43;24.3;0;297.1;0.0001;289.12;Module 1_4_5;1.58;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:25:55;24.3;0;297.1;0.0001;289.13;Module 1_4_5;1.67;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:27:08;24.5;0;297.1;0.35156986931588863;289.12;Module 1_4_5;1.83;0,00;0,18;0,00;0,00;-0,00
31,07.2019 07:28:20;24.7;0;298.6;0.37846592489196745;289.14;Module 1_4_5;1.97;0,00;0,19;0,00;0,00;-0,00
31,07.2019 07:29:33;25.9;0;298.6;0.37270248441137915;289.12;Module 1_4_5;1.94;0,00;0,19;0,00;0,00;-0,00
31,07.2019 07:30:46;25.9;0;298.6;0.4034408336411836;289.1;Module 1_4_5;2.1;0,00;0,20;0,00;0,00;-0,00
31,07.2019 07:31:59;25.9;0;298.6;0.6188281991460292;289.1;Module 1_4_5;2.06;0,00;0,31;0,00;0,00;-0,00
31,07.2019 07:33:12;25.9;0;298.6;0.939991038379137;289.1;Module 1_4_5;2.24;0,00;0,47;0,00;0,00;-0,00
31,07.2019 07:34:25;25.9;0;298.6;1.0634876323083426;289.08;Module 1_4_5;2.11;0,00;0,53;0,00;0,00;-0,00
