date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 06:59:38;21.5;0;288.4;0.0001;289.1;Module 2,3_17;1.78;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:00:59;21.5;0;288.4;0.0001;289.13;Module 2,3_17;1.61;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:02:12;21.5;0;288.4;0.0001;289.14;Module 2,3_17;1.43;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:03:26;21.5;0;288.4;0.0001;289.13;Module 2,3_17;1.33;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:51:41;25.9;0;288.4;3.539927389716171;289.05;Module 2,3_17;5.09;0,00;2,39;0,01;0,02;-0,02
31,07.2019 07:52:58;30.8;0;288.4;4.3200465366427565;289.06;Module 2,3_17;6.07;0,00;2,92;0,01;0,03;-0,03
31,07.2019 07:54:11;32;0;288.4;5.428426443224211;289.07;Module 2,3_17;7.48;0,00;3,66;0,01;0,05;-0,05
31,07.2019 07:55:24;32.3;0;292.5;6.80231665345322;289.1;Module 2,3_17;9.21;0,00;4,60;0,02;0,08;-0,08
31,07.2019 07:56:37;27.3;0;292.5;8.149409544690638;289.11;Module 2,3_17;10.86;0,00;5,52;0,02;0,11;-0,11
31,07.2019 07:57:51;27.3;0;292.5;10.454943395839056;289.13;Module 2,3_17;13.73;0,00;7,07;0,03;0,18;-0,18
31,07.2019 07:59:04;27.7;0;292.5;12.97773106251942;289.14;Module 2,3_17;16.82;0,00;8,78;0,03;0,28;-0,28
31,07.2019 08:00:19;27.8;0.02;292.5;15.186337798227374;289.14;Module 2,3_17;19.44;0,56;10,27;0,04;0,38;0,17
31,07.2019 08:01:32;28.4;0.04;292.5;17.362088845441413;289.16;Module 2,3_17;21.98;1,14;11,75;0,04;0,50;0,63
31,07.2019 08:02:48;28.6;0.05;292.5;19.63964824694743;289.19;Module 2,3_17;24.6;1,43;13,29;0,05;0,64;0,79
31,07.2019 08:04:13;29.6;0.06;292.5;21.397503419838205;289.19;Module 2,3_17;26.51;1,78;14,48;0,05;0,76;1,01
