date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 14:16:18;34.7;1.47;333.7;329.59302716966;292.46;Module 1_4_1;332.79;51,01;34,05;1,57;53,44;-2,43
31,07.2019 14:17:30;34.8;1.84;333.7;390.45918378931606;292.68;Module 1_4_1;394.23;64,03;34,34;1,87;64,32;-0,29
31,07.2019 14:18:44;35.1;2.15;333.7;471.6158844756437;293.02;Module 1_4_1;476.15;75,47;34,64;2,28;78,92;-3,46
31,07.2019 14:20:00;34.6;1.99;333.7;420.92194304737524;293.32;Module 1_4_1;424.95;68,85;34,47;2,02;69,79;-0,94
31,07.2019 14:21:14;34.5;1.97;333.7;441.22663784327835;293.63;Module 1_4_1;445.43;67,97;34,54;2,13;73,44;-5,48
31,07.2019 14:22:28;34.7;5.54;333.7;1267.9650947565576;294.15;Module 1_4_1;1279.99;192,24;35,70;6,27;223,73;-31,49
31,07.2019 14:23:53;34.7;6.05;335.7;1087.965564752697;295.19;Module 1_4_1;1098.23;209,94;35,26;5,37;189,17;20,76
31,07.2019 14:25:11;33.3;5.68;335.7;981.4941245601609;296.29;Module 1_4_1;990.71;189,14;35,18;4,83;169,97;19,18
31,07.2019 14:26:26;33.3;3.74;335.7;953.8249431167635;297.3;Module 1_4_1;962.74;124,54;35,16;4,69;164,97;-40,43
31,07.2019 14:27:39;32.2;5.44;335.7;1105.8600494358118;297.81;Module 1_4_1;1116.15;175,17;35,27;5,45;192,40;-17,23
31,07.2019 14:28:56;33.1;4.06;335.7;512.3649420181903;298.43;Module 1_4_1;517.11;134,39;34,41;2,48;85,43;48,95
31,07.2019 14:30:12;33.1;5.65;335.7;1024.7835730985698;298.68;Module 1_4_1;1034.23;187,02;35,22;5,05;177,78;9,24
31,07.2019 14:31:28;32;5.6;335.7;1146.5900308161192;299.21;Module 1_4_1;1157.11;179,20;35,30;5,66;199,74;-20,54
31,07.2019 14:32:40;32;5.34;342.3;1024.868405776769;299.67;Module 1_4_1;1034.23;170,88;34,06;5,05;172,00;-1,12
31,07.2019 14:33:53;31.3;5.25;342.3;1083.2594489908333;299.96;Module 1_4_1;1093.11;164,33;34,11;5,34;182,19;-17,87
31,07.2019 14:35:05;30.7;5.25;342.3;1085.8397515814247;300.25;Module 1_4_1;1095.67;161,17;34,11;5,35;182,64;-21,47
31,07.2019 14:36:22;30.7;4.75;345.3;1134.0916456772065;300.46;Module 1_4_1;1144.31;145,82;33,61;5,60;188,10;-42,28
31,07.2019 14:37:38;31.5;4.68;345.3;1035.186547830015;300.78;Module 1_4_1;1044.47;147,42;33,55;5,10;171,10;-23,68
31,07.2019 14:38:53;30.8;3.67;345.3;487.16143545210116;301.12;Module 1_4_1;491.51;113,04;32,64;2,36;76,98;36,05
31,07.2019 14:39:57;31.2;5.49;345.3;1159.6000380647154;301.2;Module 1_4_1;1169.91;171,29;33,63;5,72;192,48;-21,19
31,07.2019 14:41:11;31.2;5.56;345.3;1152.034277850812;301.44;Module 1_4_1;1162.23;173,47;33,62;5,69;191,18;-17,71
31,07.2019 14:42:27;31;5.74;345.3;1169.845478463965;301.99;Module 1_4_1;1180.15;177,94;33,63;5,78;194,24;-16,30
31,07.2019 14:43:41;30.6;5.98;345.3;1248.562690381661;302.39;Module 1_4_1;1259.51;182,99;33,66;6,17;207,74;-24,75
31,07.2019 14:44:54;32.3;5.69;352.4;915.8761582435654;302.47;Module 1_4_1;923.87;183,79;32,17;4,50;144,85;38,94
31,07.2019 14:46:03;31.2;1.72;352.4;345.1504606870452;302.39;Module 1_4_1;348.15;53,66;30,79;1,65;50,83;2,83
31,07.2019 14:52:29;31.6;1.48;353.9;310.9821417491895;300.15;Module 1_4_1;313.62;46,77;30,32;1,48;44,91;1,85
31,07.2019 14:53:42;32.2;1.64;353.9;345.2350669091551;299.88;Module 1_4_1;348.15;52,81;30,52;1,65;50,40;2,41
31,07.2019 14:54:55;32.2;2.13;352.4;441.7176198430331;299.68;Module 1_4_1;445.43;68,59;31,20;2,13;66,55;2,04
31,07.2019 14:56:17;32.7;5.87;352.4;1025.6546640869353;299.67;Module 1_4_1;1034.23;191,95;32,27;5,05;163,04;28,91
31,07.2019 14:57:43;32.7;2.18;351.9;444.2955576757511;299.94;Module 1_4_1;447.99;71,29;31,30;2,15;67,16;4,12
31,07.2019 14:58:58;33.3;2.36;351.9;510.32670670100026;300.01;Module 1_4_1;514.55;78,59;31,52;2,47;78,02;0,57
31,07.2019 15:00:11;32.5;2.17;351.9;609.3704864700039;299.96;Module 1_4_1;614.39;70,52;31,78;2,97;94,37;-23,85
31,07.2019 15:01:26;32.8;2.23;350.3;462.12161530709756;299.79;Module 1_4_1;465.91;73,14;31,66;2,23;70,73;2,41
31,07.2019 15:02:40;31.9;6.39;350.3;1277.2488815123525;299.85;Module 1_4_1;1287.67;203,84;32,80;6,31;207,01;-3,17
31,07.2019 15:03:53;31.4;5.31;350.3;1036.0563063768186;300.25;Module 1_4_1;1044.47;166,73;32,66;5,10;166,70;0,04
31,07.2019 15:05:26;31.5;2.29;350.3;472.33709554134805;300.67;Module 1_4_1;476.15;72,14;31,70;2,28;72,42;-0,29
31,07.2019 15:06:40;32.2;2.29;349.8;464.7363216000674;300.82;Module 1_4_1;468.47;73,74;31,76;2,25;71,36;2,37
31,07.2019 15:07:52;32.1;2.31;349.8;474.91229123019235;300.85;Module 1_4_1;478.71;74,15;31,79;2,30;73,06;1,10
31,07.2019 15:09:06;32;2.71;349.8;500.3281922787014;300.78;Module 1_4_1;504.31;86,72;31,88;2,42;77,29;9,43
31,07.2019 15:10:26;32.4;2.22;349.8;464.790193859868;300.69;Module 1_4_1;468.47;71,93;31,76;2,25;71,37;0,55
31,07.2019 15:11:48;32;6.03;349.8;930.5618657952002;300.68;Module 1_4_1;937.89;192,96;32,66;4,58;149,43;43,53
31,07.2019 15:13:02;32.5;2.53;349.8;736.2996272316204;300.64;Module 1_4_1;742.07;82,22;32,40;3,60;116,78;-34,56
31,07.2019 15:14:15;32.7;2.44;349.8;464.844388468142;300.69;Module 1_4_1;468.47;79,79;31,76;2,25;71,38;8,41
31,07.2019 15:16:44;33;1.98;349.8;505.52551199159643;300.7;Module 1_4_1;509.43;65,34;31,89;2,45;78,15;-12,81
31,07.2019 15:18:06;32.3;1.95;349.8;426.79141228147455;300.67;Module 1_4_1;430.07;62,98;31,62;2,06;65,07;-2,08
31,07.2019 15:19:20;32.5;1.83;349.8;391.23920297326197;300.5;Module 1_4_1;394.23;59,48;31,48;1,88;59,19;0,29
31,07.2019 15:20:50;32.6;2.12;349.8;472.5590730622981;300.21;Module 1_4_1;476.15;69,11;31,78;2,29;72,66;-3,55
31,07.2019 15:22:09;32.9;3.11;349.8;757.2658026782117;300.12;Module 1_4_1;762.99;102,32;32,44;3,71;120,30;-17,98
31,07.2019 15:23:24;32.9;4.97;349.8;837.778836380164;300.32;Module 1_4_1;844.08;163,51;32,55;4,11;133,83;29,68
31,07.2019 15:24:39;33.3;3.26;349.8;715.0290132291946;300.6;Module 1_4_1;720.38;108,56;32,37;3,50;113,21;-4,65
31,07.2019 15:25:51;33.3;2.39;349.8;447.2193357632183;300.82;Module 1_4_1;450.55;79,59;31,70;2,16;68,46;11,13
31,07.2019 15:27:04;32.5;4.18;349.8;523.47057528616;300.89;Module 1_4_1;527.35;135,85;31,94;2,54;81,14;54,71
31,07.2019 15:28:19;32.9;2.09;349.8;442.1696538486274;300.96;Module 1_4_1;445.43;68,76;31,68;2,13;67,62;1,14
31,07.2019 15:29:22;32.2;2.7;349.8;541.2957430894414;300.92;Module 1_4_1;545.27;86,94;31,99;2,63;84,12;2,82
31,07.2019 15:30:37;32.5;2.38;349.8;462.53129993523277;300.98;Module 1_4_1;465.91;77,35;31,75;2,24;71,00;6,35
31,07.2019 15:31:51;32.5;2.47;349.8;444.7574771360331;301;Module 1_4_1;447.99;80,28;31,69;2,15;68,05;12,23
31,07.2019 15:33:16;32.3;1.92;349.8;386.3184877232058;300.95;Module 1_4_1;389.11;62,02;31,45;1,86;58,38;3,64
31,07.2019 15:34:30;32.3;1.67;349.8;348.20662533080554;300.92;Module 1_4_1;350.71;53,94;31,27;1,67;52,10;1,84
31,07.2019 16:11:21;33.8;1.15;339.8;303.3631605731116;296.74;Module 1_4_1;305.22;38,87;32,83;1,44;47,28;-8,41
31,07.2019 16:12:36;33.4;1.34;339.8;299.5770032348587;296.8;Module 1_4_1;301.4;44,76;32,80;1,42;46,62;-1,87
31,07.2019 16:14:22;33.4;1.89;339.8;534.3651319716695;297.04;Module 1_4_1;537.59;63,13;33,75;2,59;87,54;-24,41
31,07.2019 16:15:40;33.3;4.58;339.8;969.8428984271408;297.61;Module 1_4_1;975.66;152,51;34,45;4,77;164,48;-11,96
31,07.2019 16:16:55;33.4;4.65;339.8;949.8167549510113;298.25;Module 1_4_1;955.48;155,31;34,44;4,67;160,93;-5,62
31,07.2019 16:18:09;33.8;4.58;339.8;945.5155196106956;298.97;Module 1_4_1;951.12;154,80;34,43;4,65;160,17;-5,37
31,07.2019 16:19:24;33.7;4.54;339.8;922.4549380983485;299.54;Module 1_4_1;927.89;153,00;34,41;4,54;156,09;-3,09
31,07.2019 16:20:47;33.4;4.31;339.8;896.5726184208178;300.25;Module 1_4_1;901.82;143,95;34,38;4,41;151,51;-7,56
31,07.2019 16:22:02;33.4;4.23;339.8;871.858163972149;300.63;Module 1_4_1;876.93;141,28;34,36;4,28;147,14;-5,85
31,07.2019 16:23:25;33;4.17;339.8;857.9526889806436;300.96;Module 1_4_1;862.91;137,61;34,34;4,21;144,68;-7,07
31,07.2019 16:24:38;32.7;4.17;339.8;851.5689228291983;301.12;Module 1_4_1;856.46;136,36;34,34;4,18;143,55;-7,19
