date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 14:15:57;34;1.39;301.1;299.807326555902;292.39;Module 1,7_6;302.68;47,26;35,33;1,38;48,87;-1,61
31,07.2019 14:17:11;35.1;1.97;301.1;458.97616237260115;292.61;Module 1,7_6;463.35;69,15;35,65;2,18;77,64;-8,50
31,07.2019 14:18:24;35;2.06;301.1;433.63985922074073;292.89;Module 1,7_6;437.75;72,10;35,63;2,05;73,08;-0,98
31,07.2019 14:19:40;34.7;2.01;301.1;420.9822538590871;293.21;Module 1,7_6;424.95;69,75;35,61;1,99;70,80;-1,05
31,07.2019 14:20:54;34.4;2.23;301.6;464.11968171074074;293.54;Module 1,7_6;468.47;76,71;35,56;2,20;78,39;-1,67
31,07.2019 14:22:08;35.1;3.11;301.6;1039.8963800969132;293.96;Module 1,7_6;1049.59;109,16;35,13;5,07;178,24;-69,08
31,07.2019 14:23:33;35.9;4.63;301.6;1253.0236318909406;294.92;Module 1,7_6;1264.63;166,22;34,76;6,13;213,05;-46,83
31,07.2019 14:24:51;35.4;5.31;301.6;1171.9181642710178;296.03;Module 1,7_6;1182.71;187,97;34,91;5,73;199,95;-11,98
31,07.2019 14:26:05;34.8;5.45;304.6;1123.7788626079766;297.06;Module 1,7_6;1134.07;189,66;34,48;5,49;189,29;0,37
31,07.2019 14:27:19;33.3;5.28;304.6;1111.151096467177;297.66;Module 1,7_6;1121.27;175,82;34,50;5,43;187,25;-11,42
31,07.2019 14:28:37;32.6;4.42;304.6;1172.0988100140025;298.27;Module 1,7_6;1182.71;144,09;34,39;5,73;197,05;-52,96
31,07.2019 14:29:52;33.2;3.53;304.6;568.3141352730553;298.59;Module 1,7_6;573.43;117,20;35,08;2,73;95,62;21,58
31,07.2019 14:31:08;32.8;5.51;311.2;1149.3830705906207;299.07;Module 1,7_6;1159.67;180,73;33,30;5,62;187,01;-6,28
31,07.2019 14:32:20;31.6;5.29;311.2;1037.7926592626254;299.54;Module 1,7_6;1047.03;167,16;33,48;5,06;169,54;-2,38
31,07.2019 14:33:33;31.6;5.1;311.2;1070.8316506920307;299.87;Module 1,7_6;1080.31;161,16;33,43;5,23;174,75;-13,59
