moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;445,87;33,81;26,64;30,11;1,47
String 1,2;445,34;34,30;26,59;30,24;1,48
String 1,3;440,99;33,00;26,51;30,14;1,50
String 1,4;452,43;33,23;26,84;30,72;1,56
String 1,5;450,91;31,34;26,75;30,36;1,56
String 1,6;444,10;34,38;26,59;30,19;1,52
String 1,7;450,75;37,61;26,75;30,56;1,53
String 1,8;444,40;34,40;26,59;30,12;1,48
String 1,9;448,25;39,21;26,69;30,38;1,48
String 1,10;446,37;31,86;26,66;30,44;1,52
String 1,11;444,90;36,70;26,63;30,11;1,51
String 1,12;445,27;34,01;26,61;30,07;1,51
String 2,1;446,48;29,05;26,64;30,11;1,51
String 2,2;444,96;39,10;26,58;28,27;1,38
String 2,3;451,17;34,42;26,75;28,79;1,46
String 2,4;448,76;38,16;26,69;30,18;1,53
Module 1,1_1;465,21;32,82;27,14;31,76;1,62
Module 1,1_2;467,97;31,48;27,17;32,35;1,61
Module 1,1_3;462,35;34,77;27,14;32,09;1,62
Module 1,1_4;462,14;42,01;27,14;32,65;1,62
Module 1,1_5;467,98;34,47;27,32;31,90;1,64
Module 1,1_6;451,82;31,03;26,98;31,99;1,59
Module 1,1_7;462,86;34,32;27,11;31,90;1,61
Module 1,1_8;457,98;43,27;27,12;32,42;1,63
Module 1,1_9;450,59;34,60;27,08;32,60;1,64
Module 1,1_10;469,22;34,38;27,17;32,23;1,62
Module 1,1_11;440,63;35,94;27,09;31,69;1,68
Module 1,1_12;454,20;34,28;26,86;31,27;1,54
Module 1,1_13;464,51;34,98;27,06;32,27;1,59
Module 1,1_14;458,58;33,92;27,14;32,48;1,62
Module 1,1_15;468,23;41,27;27,07;31,74;1,62
Module 1,1_16;459,30;34,68;26,99;31,99;1,61
Module 1,1_17;464,53;34,07;27,10;33,20;1,60
Module 1,1_18;451,06;34,95;27,10;32,13;1,65
Module 1,2_1;468,08;34,39;27,15;32,73;1,63
Module 1,2_2;450,56;36,11;27,05;32,48;1,65
Module 1,2_3;458,71;35,39;27,10;32,24;1,65
Module 1,2_4;441,95;33,74;26,98;32,27;1,68
Module 1,2_5;458,49;43,52;27,10;33,11;1,66
Module 1,2_6;452,10;34,24;27,05;32,56;1,65
Module 1,2_7;467,54;36,13;27,15;32,38;1,63
Module 1,2_8;468,58;33,36;27,18;31,69;1,64
Module 1,2_9;464,30;37,12;27,15;31,83;1,65
Module 1,2_10;468,78;35,51;27,17;32,27;1,64
Module 1,2_11;468,78;34,72;27,17;32,03;1,64
Module 1,2_12;442,34;32,72;27,00;31,47;1,68
Module 1,2_13;469,47;33,45;27,19;31,41;1,64
Module 1,2_14;436,33;33,97;26,98;31,60;1,69
Module 1,2_15;469,15;35,22;27,18;31,99;1,64
Module 1,2_16;460,36;35,40;27,12;32,59;1,64
Module 1,2_17;468,11;64,96;27,21;32,25;1,65
Module 1,2_18;452,13;42,67;27,08;32,18;1,66
Module 1,3_1;470,56;44,72;27,21;32,32;1,70
Module 1,3_2;453,89;36,13;27,23;32,47;1,74
Module 1,3_3;464,28;43,42;27,17;32,38;1,68
Module 1,3_4;471,98;37,20;27,32;32,05;1,68
Module 1,3_5;468,67;33,87;27,20;31,93;1,67
Module 1,3_6;469,64;33,34;27,24;32,28;1,67
Module 1,3_7;454,80;33,84;27,08;32,17;1,71
Module 1,3_8;440,74;35,12;27,10;31,96;1,72
Module 1,3_9;446,71;35,69;27,18;32,34;1,75
Module 1,3_10;468,71;41,92;27,20;32,54;1,67
Module 1,3_11;459,32;34,91;27,11;32,27;1,69
