module;pmpp;month
Module 1,12_9;179,5021057505512;July_2019
String 1,12;182,95523095139296;July_2019
Module 1,12_2;177,80735691620163;July_2019
Module 1,12_3;176,65185870665204;July_2019
Module 1,12_4;177,19979660635738;July_2019
Module 1,12_5;176,17440192310445;July_2019
Module 1,12_6;175,5179086281001;July_2019
Module 1,12_7;177,0893437475625;July_2019
Module 1,12_8;176,99012716636642;July_2019
Module 1,12_1;176,0000641005059;July_2019
Module 1,12_10;179,1416093720643;July_2019
Module 1,12_11;171,90504674618091;July_2019
Module 1,12_12;170,6782798254043;July_2019
Module 1,12_13;172,8593201728526;July_2019
Module 1,12_14;171,97836954762008;July_2019
Module 1,12_15;175,0773388071134;July_2019
Module 1,12_16;178,46899714224907;July_2019
Module 1,12_17;178,39056332663188;July_2019
Module 1,12_18;177,9508122655115;July_2019
