module;pmpp;month
Module 1,1_9;176,63395129297018;July_2019
String 1,1;179,14454867781532;July_2019
Module 1,1_2;176,83965548798568;July_2019
Module 1,1_3;179,26668221009646;July_2019
Module 1,1_4;181,1516493674341;July_2019
Module 1,1_5;177,87027216906475;July_2019
Module 1,1_6;177,2771122471961;July_2019
Module 1,1_7;179,51553877041252;July_2019
Module 1,1_8;178,58597404553527;July_2019
Module 1,1_1;175,2664604229173;July_2019
Module 1,1_10;180,28748373313135;July_2019
Module 1,1_11;172,72314474572653;July_2019
Module 1,1_12;169,76252668066425;July_2019
Module 1,1_13;181,82619690147482;July_2019
Module 1,1_14;181,58101554266705;July_2019
Module 1,1_15;180,25614203939318;July_2019
Module 1,1_16;179,57974024268248;July_2019
Module 1,1_17;176,1959339199751;July_2019
Module 1,1_18;178,9307680814159;July_2019
Module 1,10_9;175,7035671607911;July_2019
String 1,10;180,82994347905498;July_2019
Module 1,10_2;181,1125163896973;July_2019
Module 1,10_3;184,1622022359128;July_2019
Module 1,10_4;175,49534281917053;July_2019
Module 1,10_5;178,00700274980244;July_2019
Module 1,10_6;176,87608319299255;July_2019
Module 1,10_7;183,415527715391;July_2019
Module 1,10_8;175,1790949851487;July_2019
Module 1,10_1;183,3795094797351;July_2019
Module 1,10_10;177,07597282261608;July_2019
Module 1,10_11;176,5002303856657;July_2019
Module 1,10_12;182,91106568791238;July_2019
Module 1,10_13;175,57467883592042;July_2019
Module 1,10_14;184,531412057468;July_2019
Module 1,10_15;183,5744520905312;July_2019
Module 1,10_16;175,98579561061376;July_2019
Module 1,10_17;178,74199283261922;July_2019
Module 1,10_18;176,52208236328303;July_2019
Module 1,11_9;177,34903590229789;July_2019
String 1,11;171,82630708778728;July_2019
Module 1,11_2;181,92944032133516;July_2019
Module 1,11_3;176,31947008965304;July_2019
Module 1,11_4;182,13665423860513;July_2019
Module 1,11_5;182,0659446362889;July_2019
Module 1,11_6;177,51550187101435;July_2019
Module 1,11_7;180,1206231740968;July_2019
Module 1,11_8;174,87300015530002;July_2019
Module 1,11_1;175,96415839947457;July_2019
Module 1,11_10;185,16952433668078;July_2019
Module 1,11_11;172,82804271879206;July_2019
Module 1,11_12;177,43165095980416;July_2019
Module 1,11_13;177,34724132086194;July_2019
Module 1,11_14;175,5467712577714;July_2019
Module 1,11_15;179,13050715256892;July_2019
Module 1,11_16;179,72994516028663;July_2019
Module 1,11_17;174,82688933971787;July_2019
Module 1,11_18;176,81178211393348;July_2019
Module 1,12_9;179,5021057505512;July_2019
String 1,12;182,95523095139296;July_2019
Module 1,12_2;177,80735691620163;July_2019
Module 1,12_3;176,65185870665204;July_2019
Module 1,12_4;177,19979660635738;July_2019
Module 1,12_5;176,17440192310445;July_2019
Module 1,12_6;175,5179086281001;July_2019
Module 1,12_7;177,0893437475625;July_2019
Module 1,12_8;176,99012716636642;July_2019
Module 1,12_1;176,0000641005059;July_2019
Module 1,12_10;179,1416093720643;July_2019
Module 1,12_11;171,90504674618091;July_2019
Module 1,12_12;170,6782798254043;July_2019
Module 1,12_13;172,8593201728526;July_2019
Module 1,12_14;171,97836954762008;July_2019
Module 1,12_15;175,0773388071134;July_2019
Module 1,12_16;178,46899714224907;July_2019
