date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,06.2019 06:21:49;29.9;0;296.1;0.0001;288.93;Module 1,9_6;4.25;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:23:54;31.4;0;298.6;0.0001;288.91;Module 1,9_6;4.97;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:25:51;31.9;0;298.6;0.0001;288.85;Module 1,9_6;6.16;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:27:47;32.5;0;298.6;0.0001;288.85;Module 1,9_6;7.13;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:29:44;25.6;0;298.6;0.0001;288.83;Module 1,9_6;7.9;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:31:42;25.3;0;298.6;0.0001;288.78;Module 1,9_6;8.4;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:33:39;24.1;0;297.6;0.0001;288.75;Module 1,9_6;9.21;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:35:36;24.5;0;297.6;0.0001;288.69;Module 1,9_6;10.16;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:37:33;25.4;0;296.6;0.0001;288.69;Module 1,9_6;10.68;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:39:30;26.1;0;296.6;0.0001;288.66;Module 1,9_6;11.5;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:41:26;26.4;0;296.6;0.0001;288.61;Module 1,9_6;12.41;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:43:23;26.4;0;298.1;0.0001;288.6;Module 1,9_6;13.6;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:45:20;26.5;0;298.1;0.0001;288.6;Module 1,9_6;14.09;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:47:23;26.4;0;298.1;0.0001;288.63;Module 1,9_6;14.63;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:49:53;27.1;0;298.1;0.0001;288.61;Module 1,9_6;15.57;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:51:50;27.5;0;298.1;0.0001;288.59;Module 1,9_6;16.56;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:53:47;28.2;0;298.1;0.0001;288.58;Module 1,9_6;17.55;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:55:44;27.6;0;298.1;0.0001;288.58;Module 1,9_6;18.68;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:57:42;28.1;0;298.6;0.0001;288.65;Module 1,9_6;20.53;0,00;0,00;0,00;0,00;0,00
30,06.2019 06:59:39;28.4;0;298.6;0.0001;288.73;Module 1,9_6;20.97;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:01:35;28.4;0;298.6;0.0001;288.77;Module 1,9_6;21.58;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:03:32;28.7;0;298.6;0.0001;288.87;Module 1,9_6;24.23;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:05:37;28.8;0;298.6;0.0001;289.06;Module 1,9_6;25.92;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:07:34;28.5;0;298.6;0.0001;289.17;Module 1,9_6;25.92;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:09:35;28.8;0;298.6;0.0001;289.38;Module 1,9_6;28.06;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:11:33;28.8;0;300.1;0.0001;289.57;Module 1,9_6;28.87;0,00;0,00;0,00;0,00;0,00
30,06.2019 07:13:30;29;0;300.1;5.500243365308136;289.67;Module 1,9_6;28.63;0,00;2,04;0,01;0,03;-0,03
30,06.2019 07:15:27;29.2;0;300.1;5.66161969876461;289.82;Module 1,9_6;29.47;0,00;2,10;0,01;0,03;-0,03
30,06.2019 07:17:23;29.5;0;300.1;11.062081121259222;290;Module 1,9_6;30.52;0,00;4,10;0,03;0,12;-0,12
30,06.2019 07:19:20;29.7;0;300.1;17.62878156203985;290.21;Module 1,9_6;31.86;0,00;6,54;0,05;0,30;-0,30
30,06.2019 07:21:44;29.6;0;300.1;21.209779261198122;290.35;Module 1,9_6;31.51;0,00;7,87;0,06;0,44;-0,44
30,06.2019 07:23:42;29.5;0;300.1;23.56973472978006;290.46;Module 1,9_6;32.21;0,00;8,74;0,06;0,54;-0,54
30,06.2019 07:25:40;29.8;0;300.1;25.496717375615;290.58;Module 1,9_6;33.01;0,00;9,45;0,07;0,64;-0,64
30,06.2019 07:27:40;29.3;0;300.7;26.656401103615;290.67;Module 1,9_6;33.21;0,00;9,89;0,07;0,70;-0,70
30,06.2019 07:29:41;30.9;0;300.7;28.022918877062736;290.74;Module 1,9_6;33.93;0,00;10,39;0,07;0,77;-0,77
30,06.2019 07:31:42;31.1;0;300.7;28.997500637268942;290.83;Module 1,9_6;34.35;0,00;10,76;0,08;0,82;-0,82
30,06.2019 07:33:46;30.6;0.1;300.7;30.0738767341135;290.92;Module 1,9_6;35;3,06;11,16;0,08;0,89;2,17
30,06.2019 07:35:47;28.7;0.1;300.7;30.86323015669015;290.97;Module 1,9_6;35.42;2,87;11,45;0,08;0,93;1,94
30,06.2019 07:37:44;28.8;0.1;300.7;31.599366216867228;291.06;Module 1,9_6;35.86;2,88;11,72;0,08;0,98;1,90
30,06.2019 07:39:43;29.9;0.1;300.7;32.75100902572815;291.13;Module 1,9_6;36.81;2,99;12,15;0,09;1,05;1,94
30,06.2019 07:41:40;29.6;0.1;300.7;33.43079025296599;291.19;Module 1,9_6;37.27;2,96;12,40;0,09;1,10;1,86
30,06.2019 07:43:38;28.8;0.1;300.7;34.00328735140608;291.25;Module 1,9_6;37.64;2,88;12,61;0,09;1,13;1,75
30,06.2019 07:45:37;27.9;0.1;300.7;35.1349684403072;291.32;Module 1,9_6;38.65;2,79;13,03;0,09;1,21;1,58
30,06.2019 07:47:36;28.5;0.1;300.7;35.4298885604712;291.39;Module 1,9_6;38.76;2,85;13,14;0,09;1,23;1,62
30,06.2019 07:49:57;29.2;0.1;300.7;35.67081080134009;291.42;Module 1,9_6;38.8;2,92;13,23;0,09;1,25;1,67
30,06.2019 07:52:10;27.3;0.1;300.7;36.61728669478708;291.46;Module 1,9_6;39.64;2,73;13,58;0,10;1,31;1,42
30,06.2019 07:54:06;28.8;0.1;300.7;37.514373019272384;291.5;Module 1,9_6;40.46;2,88;13,91;0,10;1,38;1,50
30,06.2019 07:56:04;29.7;0.1;300.7;38.155406576563685;291.56;Module 1,9_6;41.01;2,97;14,16;0,10;1,43;1,54
30,06.2019 07:58:02;29.8;0.1;300.7;39.12449663838141;291.65;Module 1,9_6;41.92;2,98;14,52;0,10;1,50;1,48
30,06.2019 07:59:58;29.5;0.1;302.2;39.936958987188795;291.71;Module 1,9_6;42.67;2,95;14,82;0,11;1,56;1,39
30,06.2019 08:01:55;30.5;0.1;302.2;43.61683499857632;291.75;Module 1,9_6;46.48;3,05;16,19;0,12;1,87;1,18
30,06.2019 08:04:01;32.8;0.1;302.7;41.24611875464939;291.83;Module 1,9_6;43.84;3,28;15,31;0,11;1,67;1,61
30,06.2019 08:06:01;35.8;0.1;302.7;40.783618002586834;291.89;Module 1,9_6;43.25;3,58;15,14;0,11;1,63;1,95
30,06.2019 08:08:05;39.3;0.1;302.7;69.43102601333081;291.97;Module 1,9_6;73.47;3,93;25,65;0,18;4,73;-0,80
30,06.2019 08:10:04;39.5;0.2;305.7;181.54096052301566;292.32;Module 1,9_6;191.73;7,90;34,39;0,69;23,81;-15,91
30,06.2019 08:12:04;37.3;0.6;305.7;189.59317098904643;293.14;Module 1,9_6;199.87;22,38;34,51;0,73;25,26;-2,88
30,06.2019 08:14:07;35.6;0.7;305.7;194.24722133580335;293.89;Module 1,9_6;204.42;24,92;34,58;0,76;26,11;-1,19
30,06.2019 08:16:06;35.6;0.7;305.7;198.50348803223056;294.71;Module 1,9_6;208.57;24,92;34,63;0,78;26,88;-1,96
30,06.2019 08:18:10;35.5;0.8;305.7;204.1952302807905;295.5;Module 1,9_6;214.22;28,40;34,70;0,80;27,92;0,48
30,06.2019 08:20:10;35.5;0.8;308.2;209.43561248810553;296.13;Module 1,9_6;219.41;28,40;34,33;0,83;28,61;-0,21
30,06.2019 08:22:01;35.5;0.8;308.2;215.41683071483882;296.6;Module 1,9_6;225.4;28,40;34,39;0,86;29,69;-1,29
30,06.2019 11:59:22;30.2;4.4;337.9;901.2618393157251;310.76;Module 1,9_6;909.63;132,88;30,38;4,33;131,52;1,36
30,06.2019 12:01:11;30.3;4.4;337.9;904.441606748579;310.76;Module 1,9_6;912.75;133,32;30,38;4,35;131,99;1,33
30,06.2019 12:03:00;30.3;4.5;337.9;906.9573812731752;310.85;Module 1,9_6;915.2;136,35;30,38;4,36;132,37;3,98
30,06.2019 12:04:51;30.3;4.5;337.9;910.0197123556229;310.90999999999997;Module 1,9_6;918.2;136,35;30,38;4,37;132,82;3,53
30,06.2019 12:06:57;30.2;4.5;337.9;914.6303412105831;311.06;Module 1,9_6;922.75;135,90;30,37;4,40;133,51;2,39
30,06.2019 12:08:50;30.2;4.5;337.9;919.2605422831467;311.26;Module 1,9_6;927.33;135,90;30,37;4,42;134,20;1,70
30,06.2019 12:10:39;30.3;4.5;337.9;924.3240373823236;311.03;Module 1,9_6;932.35;136,35;30,37;4,44;134,95;1,40
30,06.2019 12:12:27;30.2;4.5;337.9;928.8417872812089;311.21;Module 1,9_6;936.82;135,90;30,36;4,47;135,62;0,28
30,06.2019 12:14:20;30.2;4.6;337.9;927.1168319517803;311.27;Module 1,9_6;934.99;138,92;30,36;4,46;135,36;3,56
30,06.2019 12:16:10;30.1;4.6;337.9;930.723791398017;311.45;Module 1,9_6;938.54;138,46;30,36;4,48;135,90;2,56
30,06.2019 12:18:06;30.1;4.6;337.9;938.3522382197707;311.58;Module 1,9_6;946.14;138,46;30,35;4,51;137,03;1,43
30,06.2019 12:19:59;30.1;4.6;337.9;938.292256780935;311.54;Module 1,9_6;945.99;138,46;30,35;4,51;137,02;1,44
30,06.2019 12:21:52;29.9;4.6;337.9;939.2137358748806;311.93;Module 1,9_6;946.83;137,54;30,35;4,52;137,15;0,39
30,06.2019 12:23:53;29.9;4.6;340.4;941.7580867637436;312.28;Module 1,9_6;949.3;137,54;29,90;4,53;135,50;2,04
30,06.2019 12:25:49;29.8;4.7;340.4;946.014880514304;312.35;Module 1,9_6;953.5;140,06;29,90;4,55;136,12;3,94
30,06.2019 12:27:46;29.8;4.7;340.4;951.453473241683;312.3;Module 1,9_6;958.89;140,06;29,89;4,58;136,91;3,15
30,06.2019 12:29:47;29.8;4.7;340.4;953.1148233408165;312.11;Module 1,9_6;960.47;140,06;29,89;4,59;137,15;2,91
30,06.2019 12:31:37;29.8;4.7;340.4;957.0500618878023;312.13;Module 1,9_6;964.35;140,06;29,89;4,61;137,73;2,33
30,06.2019 12:33:29;29.8;4.7;340.9;961.106171427315;312.05;Module 1,9_6;968.35;140,06;29,80;4,63;137,90;2,16
30,06.2019 12:35:37;29.7;4.7;340.9;967.4777048014114;311.75;Module 1,9_6;974.67;139,59;29,79;4,66;138,82;0,77
30,06.2019 12:37:29;29.8;4.7;342.5;967.1963820647499;311.63;Module 1,9_6;974.3;140,06;29,50;4,66;137,43;2,63
30,06.2019 12:39:29;29.6;4.7;342.5;971.0804928798373;311.53;Module 1,9_6;978.12;139,12;29,49;4,68;137,99;1,13
30,06.2019 12:41:23;29.7;4.8;342.5;978.5843078372541;311.53;Module 1,9_6;985.59;142,56;29,49;4,72;139,06;3,50
30,06.2019 12:43:22;29.8;4.8;342.5;978.6752654726874;311.65;Module 1,9_6;985.59;143,04;29,49;4,72;139,07;3,97
30,06.2019 12:45:21;29.7;4.8;342.5;981.3080413092459;311.90999999999997;Module 1,9_6;988.15;142,56;29,48;4,73;139,45;3,11
30,06.2019 12:47:15;29.8;4.8;342.5;983.9370470865134;311.94;Module 1,9_6;990.71;143,04;29,48;4,74;139,83;3,21
30,06.2019 12:49:15;29.8;4.8;342.5;984.0279142562745;312.32;Module 1,9_6;990.71;143,04;29,48;4,74;139,84;3,20
30,06.2019 12:51:12;29.8;4.8;342.5;984.116098668472;312.73;Module 1,9_6;990.71;143,04;29,48;4,74;139,85;3,19
30,06.2019 12:53:29;29.6;4.8;342.5;981.6756309428222;313.14;Module 1,9_6;988.15;142,08;29,48;4,73;139,50;2,58
30,06.2019 12:55:23;29.6;4.8;342.5;986.8474143754125;313.29;Module 1,9_6;993.27;142,08;29,48;4,76;140,24;1,84
30,06.2019 12:57:14;29.6;4.8;342.5;986.9301615346019;313.40999999999997;Module 1,9_6;993.27;142,08;29,48;4,76;140,25;1,83
30,06.2019 12:59:10;29.5;4.9;342.5;989.5601734915051;313.82;Module 1,9_6;995.83;144,55;29,48;4,77;140,63;3,92
30,06.2019 13:01:07;29.5;4.9;342.5;997.2792383625548;313.78;Module 1,9_6;1003.51;144,55;29,48;4,81;141,73;2,82
30,06.2019 13:03:09;29.5;4.9;343;997.3700317075059;313.53;Module 1,9_6;1003.51;144,55;29,38;4,81;141,31;3,24
30,06.2019 13:04:59;29.5;4.9;343;997.4515886699246;313.44;Module 1,9_6;1003.51;144,55;29,38;4,81;141,32;3,23
30,06.2019 13:07:02;29.5;4.9;342.5;994.9976758119734;313.39;Module 1,9_6;1000.95;144,55;29,48;4,80;141,41;3,14
30,06.2019 13:08:59;29.4;4.9;342.5;995.0835734188405;313.39;Module 1,9_6;1000.95;144,06;29,48;4,80;141,42;2,64
30,06.2019 13:10:54;29.3;4.9;342.5;1000.258138466811;313.83;Module 1,9_6;1006.07;143,57;29,47;4,82;142,16;1,41
30,06.2019 13:12:54;29.4;4.9;343;1000.3460942056261;314.18;Module 1,9_6;1006.07;144,06;29,38;4,82;141,73;2,33
30,06.2019 13:14:51;29.4;4.9;343;1005.52287808315;314.11;Module 1,9_6;1011.19;144,06;29,38;4,85;142,46;1,60
30,06.2019 13:16:55;29.5;4.9;344.5;1003.0677593714199;314.03;Module 1,9_6;1008.63;144,55;29,11;4,84;140,79;3,76
