date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,06.2019 12:00:08;30.2;4.5;331.2;903.0456632177509;310.74;Module 1_4_18;910.62;135,90;29,71;4,46;132,53;3,37
30,06.2019 12:01:58;30.1;4.5;331.2;906.4330702247101;310.78;Module 1_4_18;913.96;135,45;29,70;4,48;133,02;2,43
30,06.2019 12:03:49;29.9;4.6;331.2;909.3153234894583;310.94;Module 1_4_18;916.79;137,54;29,70;4,49;133,44;4,10
30,06.2019 12:05:37;29.8;4.5;331.2;909.507357156701;310.85;Module 1_4_18;916.91;134,10;29,70;4,49;133,47;0,63
30,06.2019 12:07:43;29.8;4.6;331.7;914.8198502895932;311.14;Module 1_4_18;922.18;137,08;29,60;4,52;133,83;3,25
30,06.2019 12:09:37;29.8;4.6;331.7;921.0770142092272;311.14;Module 1_4_18;928.41;137,08;29,59;4,55;134,73;2,35
30,06.2019 12:11:25;29.6;4.6;331.7;925.8721385978569;311.03;Module 1_4_18;933.17;136,16;29,59;4,58;135,42;0,74
30,06.2019 12:13:18;29.6;4.6;331.7;928.4680669014758;311.25;Module 1_4_18;935.71;136,16;29,58;4,59;135,79;0,37
30,06.2019 12:15:07;29.7;4.7;331.7;929.9002043397832;311.31;Module 1_4_18;937.08;139,59;29,58;4,60;135,99;3,60
30,06.2019 12:16:58;29.6;4.7;333.3;931.1944834100944;311.49;Module 1_4_18;938.31;139,12;29,29;4,60;134,86;4,26
30,06.2019 12:18:54;29.6;4.7;333.3;936.3327538228768;311.55;Module 1_4_18;943.41;139,12;29,28;4,63;135,58;3,54
30,06.2019 12:20:49;29.6;4.7;333.3;939.8329436566453;311.72;Module 1_4_18;946.86;139,12;29,27;4,65;136,08;3,04
30,06.2019 12:22:38;29.6;4.7;333.3;941.8402822934656;312.09000000000003;Module 1_4_18;948.81;139,12;29,27;4,66;136,36;2,76
