date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,06.2019 11:53:03;30.4;4.5;323.7;885.7961689685933;310.61;Module 1,6_11;894.33;136,80;30,83;4,35;134,12;2,68
30,06.2019 11:58:33;30.2;4.5;326.2;897.8336080597687;310.65999999999997;Module 1,6_11;906.21;135,90;30,37;4,41;133,93;1,97
30,06.2019 12:00:26;30.2;4.5;326.2;903.5827479477894;310.74;Module 1,6_11;911.92;135,90;30,36;4,44;134,79;1,11
30,06.2019 12:02:16;30.3;4.5;326.2;905.2075508152919;310.79;Module 1,6_11;913.47;136,35;30,36;4,45;135,03;1,32
30,06.2019 12:04:07;30.3;4.6;326.7;907.6752178237809;310.95;Module 1,6_11;915.87;139,38;30,27;4,46;134,99;4,39
30,06.2019 12:05:55;30.3;4.6;326.7;909.0797971409859;310.85;Module 1,6_11;917.2;139,38;30,27;4,47;135,20;4,18
30,06.2019 12:08:02;30.2;4.6;326.7;915.6933015023842;311.19;Module 1,6_11;923.77;138,92;30,26;4,50;136,18;2,74
30,06.2019 12:09:55;30.2;4.6;326.7;921.1264960641083;311.12;Module 1,6_11;929.16;138,92;30,26;4,53;136,98;1,94
30,06.2019 12:11:43;30.2;4.6;326.7;925.1879447806472;311.03;Module 1,6_11;933.17;138,92;30,25;4,55;137,58;1,34
30,06.2019 12:13:36;30.2;4.7;326.7;926.7746901146847;311.26;Module 1,6_11;934.68;141,94;30,25;4,56;137,82;4,12
30,06.2019 12:15:26;30.2;4.7;326.7;928.8942567982795;311.35;Module 1,6_11;936.73;141,94;30,25;4,57;138,13;3,81
30,06.2019 12:17:16;30.1;4.7;326.7;932.0648873011243;311.5;Module 1,6_11;939.84;141,47;30,24;4,58;138,60;2,87
30,06.2019 12:19:12;30.1;4.7;326.7;938.4934340049547;311.53;Module 1,6_11;946.23;141,47;30,24;4,61;139,55;1,92
30,06.2019 12:21:07;30.1;4.7;326.7;940.3887723874752;311.79;Module 1,6_11;948.05;141,47;30,23;4,62;139,83;1,64
30,06.2019 12:22:56;29.9;4.8;326.7;942.854587819591;312.17;Module 1,6_11;950.45;143,52;30,23;4,64;140,20;3,32
30,06.2019 12:25:01;29.9;4.8;326.7;940.987321045744;312.32;Module 1,6_11;948.47;143,52;30,23;4,63;139,92;3,60
30,06.2019 12:26:59;29.8;4.8;328.2;948.321336292017;312.28;Module 1,6_11;955.77;143,04;29,96;4,66;139,72;3,32
30,06.2019 12:28:58;29.9;4.8;328.2;951.7572232789374;312.26;Module 1,6_11;959.14;143,52;29,95;4,68;140,22;3,30
30,06.2019 12:30:50;29.9;4.8;328.2;955.991656073137;312.1;Module 1,6_11;963.32;143,52;29,95;4,70;140,84;2,68
30,06.2019 12:32:42;29.9;4.8;328.2;958.1421534760967;312.05;Module 1,6_11;965.4;143,52;29,95;4,71;141,15;2,37
30,06.2019 12:34:37;29.8;4.9;328.2;965.555497477241;311.97;Module 1,6_11;972.78;146,02;29,95;4,75;142,23;3,79
30,06.2019 12:36:42;29.9;4.9;328.2;967.7460452316242;311.64;Module 1,6_11;974.89;146,51;29,94;4,76;142,55;3,96
30,06.2019 12:38:40;29.9;4.9;328.2;970.5069083237639;311.57;Module 1,6_11;977.58;146,51;29,94;4,78;142,95;3,56
30,06.2019 12:40:34;29.7;4.9;330.2;973.4633077389366;311.55;Module 1,6_11;980.47;145,53;29,57;4,79;141,62;3,91
30,06.2019 12:42:35;29.7;4.9;330.2;978.6393962773049;311.52;Module 1,6_11;985.59;145,53;29,57;4,81;142,36;3,17
30,06.2019 12:44:25;29.7;4.9;330.2;981.2653979693274;311.81;Module 1,6_11;988.15;145,53;29,56;4,83;142,74;2,79
30,06.2019 12:46:28;29.8;4.9;330.2;981.3589318690955;311.89;Module 1,6_11;988.15;146,02;29,56;4,83;142,75;3,27
30,06.2019 12:48:20;29.8;5;330.2;986.5289465701295;312.15;Module 1,6_11;993.27;149,00;29,56;4,85;143,49;5,51
30,06.2019 12:50:25;29.8;4.9;330.2;984.0807221594664;312.57;Module 1,6_11;990.71;146,02;29,56;4,84;143,14;2,88
30,06.2019 12:52:22;29.8;5;330.2;981.6255724130739;312.96;Module 1,6_11;988.15;149,00;29,56;4,83;142,79;6,21
30,06.2019 12:54:34;29.7;5;330.2;984.2674287871619;313.27;Module 1,6_11;990.71;148,50;29,56;4,84;143,17;5,33
30,06.2019 12:56:27;29.6;5;330.2;986.8951644091737;313.33;Module 1,6_11;993.27;148,00;29,56;4,86;143,54;4,46
30,06.2019 12:58:23;29.5;5;330.2;986.9814357195195;313.62;Module 1,6_11;993.27;147,50;29,56;4,86;143,56;3,94
