moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;460,31;36,11;30,00;29,22;1,55
String 1,2;464,53;36,60;30,77;28,88;1,49
String 1,3;450,02;40,03;29,69;29,13;1,51
String 1,4;461,23;34,11;30,04;29,53;1,59
String 1,5;460,43;38,62;30,07;29,35;1,62
String 1,6;465,86;32,78;30,11;29,55;1,61
String 1,7;463,40;38,07;30,08;29,73;1,61
String 1,8;472,55;41,51;30,31;29,85;1,60
String 1,9;463,58;30,93;30,06;29,48;1,56
String 1,10;461,82;35,04;30,14;29,71;1,60
String 1,11;492,81;37,80;31,51;29,38;1,61
String 1,12;482,03;36,61;30,71;29,66;1,67
String 2,1;481,94;36,93;30,65;29,27;1,66
String 2,2;484,26;33,10;30,75;27,75;1,59
String 2,3;476,43;43,82;30,50;27,85;1,56
String 2,4;487,86;45,34;30,89;28,89;1,68
Module 1,1_1;489,27;34,83;30,48;31,02;1,74
Module 1,1_2;494,38;33,25;30,44;31,69;1,75
Module 1,1_3;492,87;37,18;30,75;31,70;1,72
Module 1,1_4;491,84;44,15;30,72;32,16;1,72
Module 1,1_5;497,21;37,36;31,03;31,57;1,78
Module 1,1_6;489,59;33,08;30,70;31,63;1,71
Module 1,1_7;491,44;36,81;30,72;31,37;1,72
Module 1,1_8;491,05;45,43;30,72;32,11;1,72
Module 1,1_9;490,55;36,58;30,71;32,24;1,72
Module 1,1_10;490,22;36,60;30,68;31,86;1,71
Module 1,1_11;494,06;38,10;30,82;31,36;1,75
Module 1,1_12;483,42;36,74;30,49;30,99;1,67
Module 1,1_13;491,21;37,68;30,71;31,97;1,72
Module 1,1_14;490,77;36,15;30,72;32,09;1,72
Module 1,1_15;491,47;43,56;30,69;31,32;1,72
Module 1,1_16;484,44;36,28;30,24;31,41;1,70
Module 1,1_17;484,74;35,72;30,56;32,35;1,66
Module 1,1_18;493,75;37,14;30,79;31,78;1,73
Module 1,2_1;491,70;36,98;31,40;32,32;1,70
Module 1,2_2;492,84;38,63;31,44;32,17;1,70
Module 1,2_3;492,06;37,78;31,42;31,78;1,69
Module 1,2_4;493,38;35,86;31,45;31,71;1,70
Module 1,2_5;493,01;45,71;31,44;32,59;1,70
Module 1,2_6;492,79;37,01;31,43;32,04;1,70
Module 1,2_7;492,93;38,72;31,44;31,92;1,70
Module 1,2_8;493,98;35,94;31,50;30,93;1,71
Module 1,2_9;493,45;39,75;31,46;31,42;1,70
Module 1,2_10;493,90;38,16;31,47;31,83;1,70
Module 1,2_11;493,62;37,19;31,46;31,35;1,70
Module 1,2_12;493,94;35,11;31,47;30,92;1,70
Module 1,2_13;494,35;36,73;31,57;30,98;1,75
Module 1,2_14;493,92;36,22;31,47;30,97;1,70
Module 1,2_15;493,20;37,79;31,45;31,49;1,70
Module 1,2_16;492,35;38,05;31,42;32,15;1,70
Module 1,2_17;494,36;67,71;31,48;32,01;1,70
Module 1,2_18;492,66;45,25;31,46;31,61;1,70
Module 1,3_1;494,32;46,86;30,53;32,15;1,81
Module 1,3_2;567,17;41,02;31,91;31,95;2,28
Module 1,3_3;492,56;45,16;30,05;32,00;1,83
Module 1,3_4;485,29;39,06;30,26;31,75;1,77
Module 1,3_5;481,37;35,69;30,45;31,48;1,73
Module 1,3_6;485,87;35,11;30,27;31,96;1,75
Module 1,3_7;558,17;34,57;29,32;31,78;2,20
Module 1,3_8;582,53;40,21;31,83;31,87;2,33
Module 1,3_9;641,71;42,53;32,20;31,66;2,78
Module 1,3_10;482,06;43,76;30,45;32,07;1,74
Module 1,3_11;514,62;36,55;29,98;31,74;1,95
Module 1,3_12;552,94;37,51;31,08;32,21;2,19
Module 1,3_13;482,30;36,16;30,47;31,63;1,74
Module 1,3_14;492,38;34,44;30,44;31,70;1,78
Module 1,3_15;491,14;34,86;30,52;31,68;1,78
Module 1,3_16;606,42;40,33;32,01;32,43;2,54
Module 1,3_17;484,78;43,58;30,53;31,76;1,76
Module 1,3_18;526,91;38,36;31,18;31,78;2,02
Module 1_4_1;499,73;71,37;31,03;31,28;1,82
Module 1_4_2;493,88;35,86;30,81;31,87;1,77
Module 1_4_3;497,26;35,60;30,91;30,22;1,79
Module 1_4_4;492,90;37,69;30,77;32,06;1,76
Module 1_4_5;494,80;45,57;30,84;31,62;1,77
Module 1_4_6;493,63;35,07;30,80;31,12;1,77
Module 1_4_7;494,36;37,32;30,83;31,63;1,77
Module 1_4_8;492,99;47,05;30,77;32,11;1,76
Module 1_4_9;494,50;35,77;30,83;31,46;1,77
Module 1_4_10;492,95;36,42;30,78;31,71;1,76
Module 1_4_11;493,31;38,09;30,78;31,57;1,76
Module 1_4_12;492,75;39,59;30,77;31,52;1,77
Module 1_4_13;492,89;34,86;30,77;30,87;1,76
Module 1_4_14;492,07;34,36;30,76;32,19;1,76
Module 1_4_16;494,47;34,55;30,79;31,94;1,76
Module 1_4_17;493,16;36,84;30,78;31,33;1,76
