module;pmpp;month
Module 2,1_9;179,42567453668704;June_2019
String 2,1;183,55104811611926;June_2019
Module 2,1_2;180,88009121568516;June_2019
Module 2,1_3;183,7566524837023;June_2019
Module 2,1_4;182,0596122898744;June_2019
Module 2,1_5;178,0620945439876;June_2019
Module 2,1_6;178,07262134170287;June_2019
Module 2,1_7;179,88030909367734;June_2019
Module 2,1_8;175,93065205616492;June_2019
Module 2,1_1;180,6802169345715;June_2019
Module 2,1_10;180,07072515513244;June_2019
Module 2,1_11;184,20502087037912;June_2019
Module 2,1_12;185,41966418758577;June_2019
Module 2,1_13;182,0659446362889;June_2019
Module 2,1_14;187,3808032354443;June_2019
Module 2,1_15;180,49989101656598;June_2019
Module 2,1_16;178,24783527714578;June_2019
Module 2,1_17;180,21822787181486;June_2019
Module 2,1_18;180,9857859721068;June_2019
