module;pmpp;month
Module 1,1_9;179,83863667139858;June_2019
String 1,1;180,41080189739392;June_2019
Module 1,1_2;177,4194055206658;June_2019
Module 1,1_3;177,84438428409652;June_2019
Module 1,1_4;179,84722798733895;June_2019
Module 1,1_5;179,94233064273593;June_2019
Module 1,1_6;176,8764022890487;June_2019
Module 1,1_7;181,73283844932266;June_2019
Module 1,1_8;181,1001229650206;June_2019
Module 1,1_1;178,23064410499364;June_2019
Module 1,1_10;178,81203605904358;June_2019
Module 1,1_11;175,60483433297267;June_2019
Module 1,1_12;175,28606916321175;June_2019
Module 1,1_13;181,13540456533846;June_2019
Module 1,1_14;180,30082716426395;June_2019
Module 1,1_15;179,09649699065105;June_2019
Module 1,1_16;181,55396937005506;June_2019
Module 1,1_17;177,18201277645886;June_2019
Module 1,1_18;180,30876822190893;June_2019
Module 1,10_9;178,01903699785666;June_2019
String 1,10;180,07266526421398;June_2019
Module 1,10_2;181,1125163896973;June_2019
Module 1,10_3;175,4674897295178;June_2019
Module 1,10_4;175,00879170855606;June_2019
Module 1,10_5;178,57784071010363;June_2019
Module 1,10_6;178,22322022219973;June_2019
Module 1,10_7;175,4674897295178;June_2019
Module 1,10_8;176,79816945416164;June_2019
Module 1,10_1;174,0607342877953;June_2019
Module 1,10_10;178,2239384791067;June_2019
Module 1,10_11;178,8378582876956;June_2019
Module 1,10_12;173,7753827692609;June_2019
Module 1,10_13;178,4289993890645;June_2019
Module 1,10_14;175,48694890133035;June_2019
Module 1,10_15;173,97312447482432;June_2019
Module 1,10_16;177,31851209118545;June_2019
Module 1,10_17;180,08790048817585;June_2019
Module 1,10_18;177,3091418644508;June_2019
Module 1,11_9;177,52675346340135;June_2019
String 1,11;170,213166049727;June_2019
Module 1,11_2;178,76013414201284;June_2019
Module 1,11_3;176,65457930778558;June_2019
Module 1,11_4;178,19683510082638;June_2019
Module 1,11_5;178,44170746873033;June_2019
Module 1,11_6;177,23621754078883;June_2019
Module 1,11_7;175,62598053465078;June_2019
Module 1,11_8;173,1136089886637;June_2019
Module 1,11_1;176,61852567581184;June_2019
Module 1,11_10;179,91572404389768;June_2019
Module 1,11_11;180,471920913943;June_2019
Module 1,11_12;177,43371431719166;June_2019
Module 1,11_13;177,31687483832692;June_2019
Module 1,11_14;175,7124131906721;June_2019
Module 1,11_15;175,2571285703155;June_2019
Module 1,11_16;177,74903947198823;June_2019
Module 1,11_17;177,0080382584315;June_2019
Module 1,11_18;177,04227532775894;June_2019
Module 1,12_9;183,38213073056303;June_2019
String 1,12;181,8825689990339;June_2019
Module 1,12_2;179,97125571110737;June_2019
Module 1,12_3;176,3465804544551;June_2019
Module 1,12_4;174,00539326378012;June_2019
Module 1,12_5;179,31664133543813;June_2019
Module 1,12_6;180,94841047234343;June_2019
Module 1,12_7;177,2660165798235;June_2019
