moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;307,23;33,90;25,56;28,27;1,43
String 1,2;306,55;34,75;25,49;28,71;1,46
String 1,3;200,28;31,58;23,29;26,89;0,94
String 1,4;315,82;32,21;25,74;28,67;1,50
String 1,5;318,89;36,78;25,84;28,62;1,54
String 1,6;262,16;31,94;24,91;28,32;1,24
String 1,7;320,79;36,22;25,87;29,27;1,53
String 1,8;315,18;39,23;25,72;28,87;1,49
String 1,9;320,63;29,18;25,87;29,18;1,49
String 1,10;317,52;33,15;25,83;29,04;1,50
String 1,11;347,60;34,97;26,61;28,77;1,63
String 1,12;317,50;32,71;25,82;28,89;1,46
String 2,1;316,00;32,52;25,77;28,64;1,45
String 2,2;306,84;32,53;25,88;26,63;1,30
String 2,3;319,57;39,73;26,04;26,60;1,43
String 2,4;312,00;41,38;25,71;28,47;1,45
Module 1,1_1;352,51;33,35;26,58;30,95;1,65
Module 1,1_2;355,05;31,42;26,01;31,65;1,68
Module 1,1_3;354,58;35,65;26,79;31,62;1,65
Module 1,1_4;353,18;42,99;26,73;32,10;1,64
Module 1,1_5;368,09;35,87;27,33;31,55;1,71
Module 1,1_6;351,26;32,08;26,71;31,51;1,63
Module 1,1_7;353,67;35,29;26,75;31,26;1,64
Module 1,1_8;353,18;44,14;26,74;32,01;1,64
Module 1,1_9;352,78;35,31;26,72;32,14;1,64
Module 1,1_10;351,13;35,24;26,70;31,75;1,63
Module 1,1_11;358,07;36,66;26,91;31,33;1,67
Module 1,1_12;345,36;35,61;26,60;30,95;1,61
Module 1,1_13;353,16;36,25;26,73;31,88;1,64
Module 1,1_14;353,20;34,78;26,73;32,01;1,64
Module 1,1_15;353,38;42,31;26,74;31,15;1,64
Module 1,1_16;344,57;35,07;26,21;31,13;1,62
Module 1,1_17;339,86;34,47;26,35;32,14;1,58
Module 1,1_18;355,35;35,67;26,82;31,71;1,65
Module 1,2_1;354,01;35,74;26,69;32,55;1,68
Module 1,2_2;354,29;37,33;26,71;32,36;1,69
Module 1,2_3;354,18;36,47;26,71;31,94;1,68
Module 1,2_4;354,38;34,56;26,71;31,86;1,69
Module 1,2_5;354,09;44,46;26,70;32,76;1,68
Module 1,2_6;354,52;36,13;26,71;32,32;1,69
Module 1,2_7;353,97;37,42;26,70;32,11;1,68
Module 1,2_8;355,19;34,51;26,76;31,06;1,69
Module 1,2_9;355,38;38,30;26,76;31,62;1,69
Module 1,2_10;354,10;36,72;26,70;32,09;1,68
Module 1,2_11;354,53;35,81;26,72;31,58;1,69
Module 1,2_12;354,57;33,64;26,72;31,14;1,69
Module 1,2_13;361,48;35,35;27,02;31,19;1,74
Module 1,2_14;355,16;34,73;26,74;31,17;1,69
Module 1,2_15;354,48;36,40;26,72;31,76;1,69
Module 1,2_16;354,66;37,65;26,72;32,43;1,69
Module 1,2_17;355,03;66,28;26,73;32,27;1,69
Module 1,2_18;355,21;44,01;26,75;31,81;1,69
Module 1,3_1;253,73;41,73;24,55;32,10;1,20
Module 1,3_2;261,65;32,76;24,53;32,27;1,24
Module 1,3_3;253,53;40,07;24,28;31,93;1,20
Module 1,3_4;254,14;34,22;24,60;31,51;1,20
Module 1,3_5;250,31;31,32;24,71;31,54;1,18
Module 1,3_6;252,82;30,45;24,57;31,80;1,19
Module 1,3_7;231,37;27,78;22,86;31,94;1,09
Module 1,3_8;187,68;28,81;22,57;31,91;0,86
Module 1,3_9;256,05;31,48;23,64;32,24;1,21
Module 1,3_10;250,24;39,20;24,67;31,96;1,18
Module 1,3_11;251,81;31,07;23,89;31,79;1,19
Module 1,3_12;262,02;30,28;24,18;32,35;1,24
Module 1,3_13;251,48;31,55;24,73;31,68;1,18
Module 1,3_14;251,73;29,64;24,51;31,58;1,19
Module 1,3_15;251,26;29,91;24,60;31,72;1,18
Module 1,3_16;264,96;31,40;24,09;32,10;1,26
Module 1,3_17;252,22;38,98;24,77;31,78;1,19
Module 1,3_18;259,34;31,88;24,58;31,67;1,23
Module 1_4_1;371,96;70,07;27,33;31,11;1,77
Module 1_4_2;360,99;34,54;26,93;31,75;1,71
Module 1_4_3;368,64;34,30;27,16;29,95;1,75
Module 1_4_4;359,06;36,42;26,85;31,91;1,70
Module 1_4_5;363,26;44,26;26,99;31,46;1,73
Module 1_4_6;360,57;33,80;26,89;30,97;1,71
Module 1_4_7;362,52;35,98;26,96;31,43;1,72
Module 1_4_8;359,19;45,75;26,84;31,98;1,71
Module 1_4_9;361,74;34,29;26,93;31,27;1,72
Module 1_4_10;359,17;35,08;26,84;31,61;1,71
Module 1_4_11;361,02;36,75;26,91;31,46;1,71
Module 1_4_12;358,89;38,33;26,84;31,38;1,70
Module 1_4_13;361,35;33,65;26,90;30,75;1,72
Module 1_4_14;357,14;33,35;26,80;32,09;1,70
Module 1_4_16;358,62;33,38;26,82;31,86;1,70
Module 1_4_17;359,66;35,49;26,86;31,15;1,71
Module 1_4_18;358,51;37,88;26,83;31,57;1,70
Module 1,5_1;358,68;46,01;26,80;31,76;1,73
Module 1,5_2;360,86;34,01;26,82;31,26;1,75
Module 1,5_3;361,79;36,18;26,78;31,37;1,75
Module 1,5_4;361,47;35,64;26,89;31,66;1,75
Module 1,5_5;360,20;35,21;26,84;30,93;1,74
Module 1,5_6;361,36;35,25;26,89;31,65;1,75
Module 1,5_7;360,11;33,63;26,85;30,57;1,74
Module 1,5_8;431,48;17,39;29,37;31,06;2,10
Module 1,5_9;359,92;34,00;26,84;31,66;1,74
Module 1,5_10;361,37;34,30;26,89;30,93;1,75
Module 1,5_11;359,37;37,35;26,82;31,70;1,74
Module 1,5_12;367,76;34,70;27,16;30,26;1,78
Module 1,5_13;360,40;34,66;26,85;30,92;1,74
Module 1,5_14;361,65;44,28;26,90;30,48;1,75
Module 1,5_15;359,16;34,14;26,82;31,39;1,74
Module 1,5_16;359,23;35,94;26,82;31,94;1,74
Module 1,5_17;361,30;37,20;26,89;31,55;1,75
Module 1,5_18;361,20;34,75;26,87;31,38;1,75
Module 1,6_1;284,69;40,17;24,85;31,53;1,35
Module 1,6_2;302,18;31,91;25,85;31,30;1,43
Module 1,6_3;303,93;32,67;25,60;30,84;1,45
Module 1,6_4;306,41;35,99;25,51;31,73;1,46
Module 1,6_5;300,75;41,23;25,82;32,03;1,43
Module 1,6_6;301,31;34,18;25,81;31,98;1,43
Module 1,6_7;289,69;33,66;25,11;31,98;1,37
Module 1,6_8;305,63;35,26;25,48;31,88;1,46
Module 1,6_9;311,32;33,75;26,34;31,75;1,48
Module 1,6_10;290,52;42,46;25,41;31,56;1,37
Module 1,6_11;303,23;32,13;25,72;31,51;1,44
Module 1,6_12;302,45;33,43;25,85;31,97;1,44
Module 1,6_13;301,18;65,29;25,56;31,89;1,43
Module 1,6_14;291,27;31,71;25,14;31,45;1,38
Module 1,6_15;305,14;34,30;25,74;31,99;1,45
Module 1,6_16;289,83;31,08;25,05;31,58;1,37
Module 1,6_17;303,17;31,12;25,57;31,61;1,44
Module 1,6_18;305,93;31,66;25,21;29,98;1,46
Module 1,7_1;356,99;35,55;26,58;30,78;1,71
Module 1,7_2;354,64;35,13;26,64;30,74;1,69
Module 1,7_3;354,48;35,00;26,64;31,37;1,69
Module 1,7_4;353,00;37,19;26,62;31,77;1,69
Module 1,7_5;353,75;44,75;26,63;31,90;1,69
Module 1,7_6;354,25;36,57;26,64;31,56;1,69
Module 1,7_7;353,98;35,92;26,64;31,53;1,69
Module 1,7_8;356,25;36,48;26,72;31,78;1,70
Module 1,7_9;354,13;43,19;26,63;31,92;1,69
Module 1,7_10;353,94;42,68;26,63;31,16;1,69
Module 1,7_11;353,87;35,46;26,62;31,41;1,69
Module 1,7_12;354,03;37,33;26,63;31,15;1,69
Module 1,7_13;354,47;36,22;26,64;31,56;1,69
Module 1,7_14;354,05;36,89;26,63;31,67;1,69
Module 1,7_15;354,47;36,59;26,64;32,14;1,69
Module 1,7_16;354,17;35,19;26,65;31,89;1,69
Module 1,7_17;354,40;36,86;26,64;31,39;1,69
Module 1,7_18;354,19;43,82;26,64;31,61;1,69
Module 1,8_1;352,12;36,02;26,61;31,68;1,67
Module 1,8_2;353,20;39,64;26,64;32,02;1,67
Module 1,8_3;352,78;35,74;26,62;31,41;1,67
Module 1,8_4;354,57;35,02;26,59;31,15;1,68
Module 1,8_5;353,19;36,75;26,63;31,60;1,67
Module 1,8_6;352,19;34,28;26,60;31,28;1,67
Module 1,8_7;352,25;35,89;26,61;31,53;1,67
Module 1,8_8;352,43;36,69;26,62;31,18;1,67
Module 1,8_9;354,31;36,24;26,69;31,78;1,68
Module 1,8_10;351,84;37,09;26,60;32,44;1,67
Module 1,8_11;352,63;36,07;26,62;31,27;1,67
Module 1,8_12;353,14;35,78;26,63;31,44;1,67
Module 1,8_13;30,95;19,90;17,81;29,69;0,11
Module 1,8_14;351,80;37,91;26,60;32,07;1,67
Module 1,8_15;352,51;38,76;26,61;31,94;1,67
Module 1,8_16;352,58;43,18;26,61;31,27;1,67
Module 1,8_17;352,80;34,50;26,62;31,72;1,67
Module 1,8_18;364,01;38,31;27,13;30,95;1,73
Module 1,9_1;356,04;43,97;26,77;30,82;1,66
Module 1,9_2;352,95;35,51;26,63;31,70;1,64
Module 1,9_3;353,82;34,88;26,66;31,69;1,64
Module 1,9_4;353,48;35,51;26,64;32,06;1,64
Module 1,9_5;353,46;35,27;26,64;31,59;1,64
Module 1,9_6;353,98;44,62;26,66;31,30;1,64
Module 1,9_7;354,34;35,10;26,67;31,15;1,65
Module 1,9_8;353,93;36,28;26,65;31,94;1,64
