module;pmpp;month
Module 1,12_9;169,6691578163081;November_2019
String 1,12;180,52992953576737;November_2019
Module 1,12_2;171,7592725186115;November_2019
Module 1,12_3;170,2270642823116;November_2019
Module 1,12_4;165,2920704169197;November_2019
Module 1,12_5;171,76368497292424;November_2019
Module 1,12_6;179,23243008653287;November_2019
Module 1,12_7;175,72637117927025;November_2019
Module 1,12_8;172,8457049882913;November_2019
Module 1,12_1;174,5390298640336;November_2019
Module 1,12_10;174,02553452941737;November_2019
Module 1,12_11;173,04743120719172;November_2019
Module 1,12_12;171,69054260714555;November_2019
Module 1,12_13;173,52632385245795;November_2019
Module 1,12_14;175,64264785366015;November_2019
Module 1,12_15;171,26329642915348;November_2019
Module 1,12_16;171,6628256139842;November_2019
Module 1,12_17;174,44450355050395;November_2019
Module 1,12_18;169,83179618088158;November_2019
