module;pmpp;month
Module 1,1_9;168,72793717471117;November_2019
String 1,1;183,76041961264238;November_2019
Module 1,1_2;164,51266394339484;November_2019
Module 1,1_3;172,6312814107924;November_2019
Module 1,1_4;172,87535166500163;November_2019
Module 1,1_5;171,59970095710833;November_2019
Module 1,1_6;164,96754407370534;November_2019
Module 1,1_7;174,5752897440335;November_2019
Module 1,1_8;170,42924910353238;November_2019
Module 1,1_1;170,18903374112844;November_2019
Module 1,1_10;171,06873366908317;November_2019
Module 1,1_11;164,26398367545855;November_2019
Module 1,1_12;161,0675482087486;November_2019
Module 1,1_13;172,87535166500163;November_2019
Module 1,1_14;174,02088478214907;November_2019
Module 1,1_15;164,21117776744921;November_2019
Module 1,1_16;168,3897720143808;November_2019
Module 1,1_17;177,1508192979433;November_2019
Module 1,1_18;178,56382578876458;November_2019
Module 1,10_9;170,6884302677488;November_2019
String 1,10;184,98817607425764;November_2019
Module 1,10_2;172,62347660761336;November_2019
Module 1,10_3;168,35979740843524;November_2019
Module 1,10_4;169,2325146332868;November_2019
Module 1,10_5;171,41741470215163;November_2019
Module 1,10_6;173,5091051098812;November_2019
Module 1,10_7;171,55866713814126;November_2019
Module 1,10_8;171,19877442391385;November_2019
Module 1,10_1;169,52491349923318;November_2019
Module 1,10_10;174,92124326772068;November_2019
Module 1,10_11;174,20891383227632;November_2019
Module 1,10_12;170,22432607500977;November_2019
Module 1,10_13;176,23160441778796;November_2019
Module 1,10_14;170,50179131376683;November_2019
Module 1,10_15;170,36876361463692;November_2019
Module 1,10_16;172,4059005459008;November_2019
Module 1,10_17;180,1465973190355;November_2019
Module 1,10_18;172,10226601115895;November_2019
Module 1,11_9;172,82051367494583;November_2019
String 1,11;164,74197451081133;November_2019
Module 1,11_2;170,68468835624174;November_2019
Module 1,11_3;164,5683524449121;November_2019
Module 1,11_4;170,87908144772172;November_2019
Module 1,11_5;176,6189466929139;November_2019
Module 1,11_6;170,41843352862472;November_2019
Module 1,11_7;168,9602061907133;November_2019
Module 1,11_8;167,1702550632067;November_2019
Module 1,11_1;158,76629541262236;November_2019
Module 1,11_10;173,5268717594201;November_2019
Module 1,11_11;175,7637738875378;November_2019
Module 1,11_12;166,10596626581724;November_2019
Module 1,11_13;163,07476294717048;November_2019
Module 1,11_14;169,80427142393333;November_2019
Module 1,11_15;85,71855296436232;November_2019
Module 1,11_16;161,5416173558341;November_2019
Module 1,11_17;168,75574636527125;November_2019
Module 1,11_18;174,64586081395825;November_2019
Module 1,12_9;169,6691578163081;November_2019
String 1,12;180,52992953576737;November_2019
Module 1,12_2;171,7592725186115;November_2019
Module 1,12_3;170,2270642823116;November_2019
Module 1,12_4;165,2920704169197;November_2019
Module 1,12_5;171,76368497292424;November_2019
Module 1,12_6;179,23243008653287;November_2019
Module 1,12_7;175,72637117927025;November_2019
Module 1,12_8;172,8457049882913;November_2019
Module 1,12_1;174,5390298640336;November_2019
Module 1,12_10;174,02553452941737;November_2019
Module 1,12_11;173,04743120719172;November_2019
Module 1,12_12;171,69054260714555;November_2019
Module 1,12_13;173,52632385245795;November_2019
Module 1,12_14;175,64264785366015;November_2019
Module 1,12_15;171,26329642915348;November_2019
Module 1,12_16;171,6628256139842;November_2019
Module 1,12_17;174,44450355050395;November_2019
Module 1,12_18;169,83179618088158;November_2019
Module 1,2_9;175,638882567835;November_2019
String 1,2;162,4208988450018;November_2019
Module 1,2_2;175,11986500679842;November_2019
Module 1,2_3;173,28291379519018;November_2019
Module 1,2_4;173,62180586157962;November_2019
Module 1,2_5;177,17814640564023;November_2019
Module 1,2_6;170,73355824128188;November_2019
Module 1,2_7;169,1064672224756;November_2019
Module 1,2_8;180,3151236559361;November_2019
Module 1,2_1;170,76009260791412;November_2019
Module 1,2_10;166,48688083730076;November_2019
Module 1,2_11;175,7502440220288;November_2019
Module 1,2_12;169,64417318642307;November_2019
Module 1,2_13;177,9625545093306;November_2019
Module 1,2_14;167,80646167537196;November_2019
Module 1,2_15;170,68268183818807;November_2019
Module 1,2_16;173,5895739701668;November_2019
Module 1,2_17;174,20039447206005;November_2019
Module 1,2_18;172,0634357373603;November_2019
Module 1,3_9;177,40611705478932;November_2019
String 1,3;161,5789333023568;November_2019
Module 1,3_2;179,22665358221542;November_2019
Module 1,3_3;191,95619489774396;November_2019
Module 1,3_4;191,30143015766316;November_2019
Module 1,3_5;171,5606425283264;November_2019
Module 1,3_6;193,73661693741863;November_2019
Module 1,3_7;189,87886964775436;November_2019
Module 1,3_8;172,87535166500163;November_2019
Module 1,3_1;179,10276680307666;November_2019
Module 1,3_10;189,57486659660594;November_2019
Module 1,3_11;189,8669475886538;November_2019
Module 1,3_12;178,58152068110974;November_2019
Module 1,3_13;167,70805196927432;November_2019
Module 1,3_14;178,2705462532141;November_2019
Module 1,3_15;176,0165755087332;November_2019
Module 1,3_16;168,75574636527125;November_2019
Module 1,3_17;180,45904855907855;November_2019
Module 1,3_18;172,55937435008258;November_2019
Module 1_4_9;170,16265978013973;November_2019
String 1,4;186,35877962285264;November_2019
Module 1_4_2;171,09598078685377;November_2019
Module 1_4_3;159,37974851787044;November_2019
Module 1_4_4;171,8766540132555;November_2019
Module 1_4_5;179,285037891148;November_2019
Module 1_4_6;170,4706759462571;November_2019
Module 1_4_7;176,30242482574943;November_2019
Module 1_4_8;185,25964541966135;November_2019
Module 1_4_1;209,86978494931626;November_2019
Module 1_4_10;173,52810779829179;November_2019
Module 1_4_11;177,06225782308366;November_2019
Module 1_4_12;175,33130679558553;November_2019
Module 1_4_13;167,90342851762466;November_2019
Module 1_4_14;170,5307993604246;November_2019
Module 1_4_15;172,3704793945378;November_2019
Module 1_4_16;168,7462949692811;November_2019
Module 1_4_17;167,47160984533414;November_2019
Module 1_4_18;173,1122668276198;November_2019
Module 1,5_9;171,3193165670539;November_2019
String 1,5;144,838407665605;November_2019
Module 1,5_2;173,04101211434838;November_2019
Module 1,5_3;171,9108698384409;November_2019
Module 1,5_4;164,81338684227478;November_2019
Module 1,5_5;170,99418862266236;November_2019
Module 1,5_6;157,6399434783421;November_2019
Module 1,5_7;0;November_2019
Module 1,5_8;159,95430205899626;November_2019
Module 1,5_1;170,5061784867535;November_2019
Module 1,5_10;169,09426475943295;November_2019
Module 1,5_11;168,99273726526275;November_2019
Module 1,5_12;167,12176616807398;November_2019
Module 1,5_13;161,5517550239836;November_2019
Module 1,5_14;175,0554718069793;November_2019
Module 1,5_15;165,70979109382336;November_2019
Module 1,5_16;172,4153451466295;November_2019
Module 1,5_17;165,89567314834753;November_2019
Module 1,5_18;169,39745552659312;November_2019
Module 1,6_9;173,4292376849059;November_2019
String 1,6;173,2208669434842;November_2019
Module 1,6_2;177,77138772772588;November_2019
Module 1,6_3;176,24325929913942;November_2019
Module 1,6_4;186,66395901387648;November_2019
Module 1,6_5;181,5401252116054;November_2019
Module 1,6_6;181,72599588709332;November_2019
Module 1,6_7;185,34264486017366;November_2019
Module 1,6_8;174,87703253574196;November_2019
Module 1,6_1;177,03932395779418;November_2019
Module 1,6_10;179,6457062350458;November_2019
Module 1,6_11;173,9504133769729;November_2019
Module 1,6_12;174,11717556774906;November_2019
Module 1,6_13;179,93488660025037;November_2019
Module 1,6_14;177,13184727039572;November_2019
Module 1,6_15;178,50859673523684;November_2019
Module 1,6_16;176,0605728268119;November_2019
Module 1,6_17;179,32213830997833;November_2019
Module 1,6_18;0;November_2019
Module 1,7_9;175,8479798331804;November_2019
String 1,7;183,68298708844125;November_2019
Module 1,7_2;171,50277385056722;November_2019
Module 1,7_3;167,91984746059308;November_2019
Module 1,7_4;176,94186385533706;November_2019
Module 1,7_5;179,1498816139175;November_2019
Module 1,7_6;177,58820865988218;November_2019
Module 1,7_7;180,31397061613598;November_2019
Module 1,7_8;178,21350010995877;November_2019
Module 1,7_1;164,81902814836783;November_2019
Module 1,7_10;171,7811614793794;November_2019
Module 1,7_11;173,46724167108522;November_2019
Module 1,7_12;171,26142795681636;November_2019
Module 1,7_13;175,6150907323108;November_2019
Module 1,7_14;173,18991719480775;November_2019
Module 1,7_15;179,18824216083024;November_2019
Module 1,7_16;171,8236707738069;November_2019
Module 1,7_17;172,6571647095331;November_2019
Module 1,7_18;173,1753958455496;November_2019
Module 1,8_9;173,62566136439764;November_2019
String 1,8;182,66421820548535;November_2019
Module 1,8_2;177,76093656615095;November_2019
Module 1,8_3;170,70044905686416;November_2019
Module 1,8_4;172,29165616323348;November_2019
Module 1,8_5;173,2721257526675;November_2019
Module 1,8_6;161,8116762694471;November_2019
Module 1,8_7;171,38420429554552;November_2019
Module 1,8_8;174,96806261980808;November_2019
Module 1,8_1;173,47830156396307;November_2019
Module 1,8_10;173,54473210284877;November_2019
Module 1,8_11;172,2009150202326;November_2019
Module 1,8_12;170,73016952773304;November_2019
Module 1,8_14;173,3380998316958;November_2019
Module 1,8_15;176,18066681257258;November_2019
Module 1,8_16;171,81663789631972;November_2019
Module 1,8_17;174,3797996208826;November_2019
Module 1,8_18;174,58441295455506;November_2019
Module 1,9_9;172,82997532230914;November_2019
String 1,9;171,35272030106347;November_2019
Module 1,9_2;170,65513273553273;November_2019
Module 1,9_3;171,2677242742971;November_2019
Module 1,9_4;170,9840440282363;November_2019
Module 1,9_5;170,83764233652187;November_2019
Module 1,9_6;171,78103412899014;November_2019
Module 1,9_7;173,31110448932762;November_2019
Module 1,9_8;176,18066681257258;November_2019
Module 1,9_1;172,58625777898163;November_2019
Module 1,9_10;165,95704614127484;November_2019
Module 1,9_11;173,27039904139585;November_2019
Module 1,9_12;165,50250100069678;November_2019
Module 1,9_13;171,30334905578823;November_2019
Module 1,9_14;171,81141411488505;November_2019
Module 1,9_15;171,23389041931242;November_2019
Module 1,9_16;166,35204348048347;November_2019
Module 1,9_17;173,5280872479978;November_2019
Module 1,9_18;170,31762429363965;November_2019
Module 2,1_9;174,1452096645299;November_2019
String 2,1;177,5897942899571;November_2019
Module 2,1_2;173,62585397147546;November_2019
Module 2,1_3;180,49410788736196;November_2019
Module 2,1_4;180,79384019234146;November_2019
Module 2,1_5;173,96009655628933;November_2019
Module 2,1_6;173,03683470639282;November_2019
Module 2,1_7;173,4307024173018;November_2019
Module 2,1_8;171,8381165625751;November_2019
Module 2,1_1;173,68003045413982;November_2019
Module 2,1_10;177,15369697806867;November_2019
Module 2,1_11;181,99615340348524;November_2019
Module 2,1_12;179,1283616222063;November_2019
Module 2,1_13;175,70115567022367;November_2019
Module 2,1_14;182,45123828497722;November_2019
Module 2,1_15;174,48446655787703;November_2019
Module 2,1_16;171,92157904071078;November_2019
Module 2,1_17;174,0790777256216;November_2019
Module 2,1_18;173,87464846578007;November_2019
Module 2,2_10;188,62736460860518;November_2019
String 2,2;169,41818728354187;November_2019
Module 2,2_2;171,96121166455765;November_2019
Module 2,2_3;177,8890677812898;November_2019
Module 2,2_4;179,81553966841022;November_2019
Module 2,2_5;176,79320511889395;November_2019
Module 2,2_6;169,96344553234846;November_2019
Module 2,2_7;171,78635295956673;November_2019
Module 2,2_8;170,40937812085417;November_2019
Module 2,2_1;172,95003349449541;November_2019
Module 2,2_9;174,01048987193022;November_2019
Module 2,2_11;169,26338622346245;November_2019
