date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,11.2019 09:34:25;31.9;0;281.9;7.2456980548445555;281.17;Module 1,12_16;9.1;0,00;2,74;0,02;0,05;-0,05
05,11.2019 09:36:18;28.2;0;281.9;7.499037240359719;281.16;Module 1,12_16;9.37;0,00;2,84;0,02;0,06;-0,06
05,11.2019 09:38:20;28.1;0;281.9;8.061577660178322;281.17;Module 1,12_16;10.02;0,00;3,05;0,02;0,07;-0,07
05,11.2019 09:40:12;28.2;0;281.9;8.842361566941822;281.17;Module 1,12_16;10.94;0,00;3,35;0,02;0,08;-0,08
05,11.2019 09:42:06;28.8;0;281.9;10.018634344406525;281.18;Module 1,12_16;12.34;0,00;3,80;0,03;0,10;-0,10
05,11.2019 09:43:59;28.8;0.06;281.4;11.91196595428048;281.19;Module 1,12_16;14.61;1,73;4,52;0,03;0,14;1,58
05,11.2019 09:46:08;29.2;0.07;281.4;13.859157876484538;281.19;Module 1,12_16;16.92;2,04;5,25;0,04;0,20;1,85
05,11.2019 09:48:00;30.4;0.08;281.4;14.824940840568352;281.16;Module 1,12_16;18.03;2,43;5,62;0,04;0,22;2,21
05,11.2019 09:49:53;30.8;0.08;281.4;14.838612249893517;281.15;Module 1,12_16;17.98;2,46;5,63;0,04;0,22;2,24
05,11.2019 09:51:46;30.9;0.08;281.4;15.189514614422094;281.12;Module 1,12_16;18.34;2,47;5,76;0,04;0,24;2,24
05,11.2019 09:53:58;31;0.09;281.4;16.47219238913882;281.1;Module 1,12_16;19.81;2,79;6,24;0,04;0,28;2,51
05,11.2019 09:55:52;31.4;0.1;281.4;17.77765954083214;281.11;Module 1,12_16;21.31;3,14;6,73;0,05;0,32;2,82
05,11.2019 09:57:48;31.4;0.1;283.4;17.910078691739123;281.11;Module 1,12_16;21.4;3,14;6,79;0,05;0,33;2,81
05,11.2019 09:59:41;31.8;0.11;283.4;19.6512355683887;281.1;Module 1,12_16;23.41;3,50;7,45;0,05;0,39;3,10
05,11.2019 10:01:38;32;0.15;283.4;27.254054482483404;281.14;Module 1,12_16;32.37;4,80;10,34;0,07;0,76;4,04
05,11.2019 10:03:31;32;0.2;283.4;36.28806417020236;281.14;Module 1,12_16;42.98;6,40;13,76;0,10;1,35;5,05
05,11.2019 10:05:23;33.1;0.18;283.4;33.49800465212662;281.14;Module 1,12_16;39.57;5,96;12,70;0,09;1,15;4,81
05,11.2019 10:07:19;33.1;0.14;283.4;26.63544844394681;281.1;Module 1,12_16;31.38;4,63;10,10;0,07;0,72;3,91
05,11.2019 10:09:28;32.6;0.15;283.4;27.01775957332563;281.08;Module 1,12_16;31.74;4,89;10,24;0,07;0,75;4,14
05,11.2019 10:11:21;32.4;0.16;283.4;29.053744341504494;281.12;Module 1,12_16;34.05;5,18;11,02;0,08;0,86;4,32
05,11.2019 10:13:15;32.6;0.13;283.4;26.29088233118464;281.17;Module 1,12_16;30.74;4,24;9,97;0,07;0,71;3,53
05,11.2019 10:15:09;32.6;0.1;283.4;20.530010184349514;281.23;Module 1,12_16;23.95;3,26;7,78;0,06;0,43;2,83
05,11.2019 10:17:09;32.6;0.07;283.4;16.186899756308854;281.28;Module 1,12_16;18.84;2,28;6,14;0,04;0,27;2,01
05,11.2019 10:19:03;32.1;0.06;283.4;13.242094523071382;281.33;Module 1,12_16;15.38;1,93;5,02;0,04;0,18;1,75
05,11.2019 10:20:57;31.6;0;283.4;11.224470207513644;281.35;Module 1,12_16;13.01;0,00;4,26;0,03;0,13;-0,13
05,11.2019 10:22:50;30;0;283.4;11.592312246141555;281.38;Module 1,12_16;13.41;0,00;4,40;0,03;0,14;-0,14
05,11.2019 10:25:10;29.9;0.09;283.4;16.593200179261775;281.4;Module 1,12_16;19.15;2,69;6,29;0,04;0,28;2,41
05,11.2019 10:27:03;30.1;0.13;283.4;23.368549793978136;281.42;Module 1,12_16;26.92;3,91;8,86;0,06;0,56;3,36
05,11.2019 10:28:57;30.1;0.17;283.4;29.315252012360986;281.43;Module 1,12_16;33.71;5,12;11,12;0,08;0,88;4,24
05,11.2019 10:30:51;30.1;0.21;283.4;36.30055547916469;281.46;Module 1,12_16;41.67;6,32;13,77;0,10;1,35;4,97
05,11.2019 10:32:53;32.1;0.22;283.4;38.67004619882113;281.47;Module 1,12_16;44.31;7,06;14,66;0,10;1,53;5,53
05,11.2019 10:34:46;33.2;0.2;283.4;36.10160936675945;281.49;Module 1,12_16;41.3;6,64;13,69;0,10;1,33;5,31
05,11.2019 10:36:38;33.2;0.15;283.9;27.945820950445523;281.5;Module 1,12_16;31.92;4,98;10,59;0,08;0,80;4,18
05,11.2019 10:38:35;33.2;0.12;283.9;23.14969946237438;281.53;Module 1,12_16;26.4;3,98;8,78;0,06;0,55;3,44
05,11.2019 10:40:29;32.4;0.13;283.9;24.115297601130596;281.55;Module 1,12_16;27.46;4,21;9,15;0,06;0,59;3,62
05,11.2019 10:42:33;32;0.15;283.9;27.469528876737748;281.56;Module 1,12_16;31.23;4,80;10,41;0,07;0,77;4,03
05,11.2019 10:44:25;32.4;0.17;283.9;30.775493694193877;281.58;Module 1,12_16;34.94;5,51;11,67;0,08;0,97;4,54
05,11.2019 10:46:18;32.6;0.2;283.9;35.024657067750304;281.58;Module 1,12_16;39.71;6,52;13,28;0,09;1,25;5,27
05,11.2019 10:48:21;32.6;0.22;283.9;40.604553144470785;281.59;Module 1,12_16;45.97;7,17;15,40;0,11;1,69;5,49
05,11.2019 10:50:14;33.3;0.23;283.9;42.65567920245803;281.58;Module 1,12_16;48.23;7,66;16,18;0,11;1,86;5,80
