date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,11.2019 09:38:43;27.3;0;280.4;8.13245211196885;281.17;Module 1_4_17;10.05;0,00;4,05;0,02;0,09;-0,09
05,11.2019 09:40:35;26.1;0;280.4;9.11132154552338;281.19;Module 1_4_17;11.21;0,00;4,53;0,02;0,11;-0,11
05,11.2019 09:42:29;25.7;0;280.4;10.72600269651046;281.17;Module 1_4_17;13.14;0,00;5,34;0,03;0,15;-0,15
05,11.2019 09:44:22;23.8;0.07;280.4;12.236887673885018;281.19;Module 1_4_17;14.93;1,67;6,09;0,03;0,20;1,47
05,11.2019 09:46:31;20.8;0.09;280.4;14.036592585414132;281.17;Module 1_4_17;17.05;1,87;6,98;0,04;0,26;1,61
05,11.2019 09:48:23;20.3;0.09;279.3;14.881551024735142;281.16;Module 1_4_17;18.01;1,83;7,40;0,04;0,30;1,53
05,11.2019 09:50:16;21.4;0.09;279.3;14.93459109308992;281.15;Module 1_4_17;18.01;1,93;7,42;0,04;0,30;1,63
05,11.2019 09:52:09;20.5;0.1;279.3;15.443299196685043;281.12;Module 1_4_17;18.56;2,05;7,68;0,04;0,32;1,73
05,11.2019 09:54:21;17.8;0.1;279.3;16.86381069460679;281.1;Module 1_4_17;20.19;1,78;8,38;0,05;0,38;1,40
05,11.2019 09:56:16;18.2;0.11;278.8;17.93145615855916;281.11;Module 1_4_17;21.4;2,00;8,91;0,05;0,43;1,57
05,11.2019 09:58:11;17.6;0.11;278.8;18.20492108449317;281.1;Module 1_4_17;21.66;1,94;9,05;0,05;0,44;1,49
05,11.2019 10:00:04;17.6;0.13;278.8;20.617819491246504;281.1;Module 1_4_17;24.46;2,29;10,24;0,06;0,57;1,72
05,11.2019 10:02:01;17.6;0.18;278.8;29.08857456661677;281.13;Module 1_4_17;34.41;3,17;14,45;0,08;1,13;2,04
05,11.2019 10:05:46;28.6;0.18;279.3;32.18175005058569;281.12;Module 1_4_17;37.87;5,15;16,00;0,09;1,38;3,77
05,11.2019 10:07:42;31.6;0.14;279.3;26.2918827471018;281.11;Module 1_4_17;30.86;4,42;13,07;0,07;0,92;3,50
05,11.2019 10:09:51;30.9;0.15;279.3;27.696724427410253;281.1;Module 1_4_17;32.42;4,63;13,77;0,07;1,02;3,61
05,11.2019 10:11:44;31.7;0.16;282.9;28.9253825909588;281.13;Module 1_4_17;33.78;5,07;14,40;0,08;1,12;3,95
05,11.2019 10:13:38;31.3;0.13;282.9;24.407756187080437;281.2;Module 1_4_17;28.44;4,07;12,15;0,07;0,80;3,27
05,11.2019 10:15:32;31.6;0.1;283.4;19.713285102263498;281.24;Module 1_4_17;22.92;3,16;9,81;0,05;0,52;2,64
05,11.2019 10:17:32;31.4;0.07;283.4;15.748719502267996;281.28;Module 1_4_17;18.27;2,20;7,84;0,04;0,33;1,87
05,11.2019 10:19:26;31.9;0;284.9;12.766295741981432;281.33;Module 1_4_17;14.78;0,00;6,36;0,03;0,22;-0,22
05,11.2019 10:21:20;32.9;0;284.9;10.91342433536079;281.35;Module 1_4_17;12.61;0,00;5,44;0,03;0,16;-0,16
05,11.2019 10:23:13;34;0;284.9;12.130675677568327;281.39;Module 1_4_17;13.99;0,00;6,05;0,03;0,20;-0,20
05,11.2019 10:25:33;33.6;0.07;285.4;17.69406165635898;281.41;Module 1_4_17;20.36;2,35;8,81;0,05;0,42;1,93
05,11.2019 10:27:26;34.8;0.1;285.4;24.51593226832453;281.42;Module 1_4_17;28.16;3,48;12,22;0,07;0,80;2,68
05,11.2019 10:29:20;34.2;0.15;285.4;32.05831671538875;281.43;Module 1_4_17;36.76;5,13;15,98;0,09;1,38;3,75
05,11.2019 10:31:14;34.1;0.19;285.4;37.26602417995942;281.46;Module 1_4_17;42.66;6,48;18,57;0,10;1,86;4,62
05,11.2019 10:33:16;33.9;0.21;285.4;38.4946492891329;281.46;Module 1_4_17;43.99;7,12;19,18;0,10;1,98;5,13
05,11.2019 10:35:09;32.3;0.2;285.4;33.61160674274798;281.5;Module 1_4_17;38.35;6,46;16,75;0,09;1,51;4,95
