date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,11.2019 14:14:28;36.4;1.39;295.5;292.06965227289214;285.71;Module 1_4_4;315.06;50,60;36,16;1,31;47,25;3,34
05,11.2019 14:16:23;36.5;1.79;295.5;360.7094527444956;285.79;Module 1_4_4;389.11;65,34;36,40;1,65;60,21;5,13
05,11.2019 14:24:09;36.3;1.59;295.5;336.9309029792438;286.14;Module 1_4_4;363.51;57,72;36,33;1,53;55,72;2,00
05,11.2019 14:26:08;36.4;1.57;296;339.2859045119928;286.4;Module 1_4_4;366.07;57,15;36,25;1,55;56,05;1,10
05,11.2019 14:28:02;36.5;2.77;296;571.7773759749134;286.8;Module 1_4_4;616.95;101,11;36,53;2,73;99,55;1,55
05,11.2019 14:29:55;36.3;3.74;296;764.379377335929;287.58;Module 1_4_4;824.82;135,76;36,44;3,70;134,85;0,91
05,11.2019 14:31:49;35.9;3.72;296;757.2835085727336;288.47;Module 1_4_4;817.22;133,55;36,44;3,67;133,57;-0,02
05,11.2019 14:51:31;36.9;2.33;297.5;499.9738058543914;286.51;Module 1_4_4;540.15;85,98;36,25;2,36;85,63;0,35
05,11.2019 14:53:24;36.9;2.96;297.5;587.5622312693508;287.28;Module 1_4_4;634.87;109,22;36,27;2,81;101,79;7,43
05,11.2019 14:55:17;36.8;1.67;298;319.78880350906843;287.85;Module 1_4_4;345.59;61,46;35,84;1,45;51,94;9,52
05,11.2019 14:57:10;36.6;1.97;298;459.47812575435;288.01;Module 1_4_4;496.63;72,10;36,13;2,16;77,94;-5,84
05,11.2019 14:59:03;36.4;1.37;298;310.21067683744985;288.16;Module 1_4_4;335.35;49,87;35,80;1,40;50,15;-0,28
05,11.2019 15:00:56;36.2;1.51;299.5;364.61231216278236;288.31;Module 1_4_4;394.23;54,66;35,70;1,68;59,91;-5,24
05,11.2019 15:02:51;36.2;1.65;299.5;331.4026388926428;288.47;Module 1_4_4;358.39;59,73;35,61;1,51;53,76;5,97
05,11.2019 15:05:25;36.2;1.74;299.5;373.913890526469;288.92;Module 1_4_4;404.47;62,99;35,73;1,72;61,63;1,36
05,11.2019 15:07:18;36.1;2.03;299.5;288.57430435643687;289.03;Module 1_4_4;312.22;73,28;35,45;1,29;45,82;27,46
05,11.2019 15:09:13;36.2;1.87;300;366.6604828227873;289.1;Module 1_4_4;396.79;67,69;35,62;1,69;60,15;7,54
05,11.2019 15:11:05;36.7;3.39;300;732.7915329297618;289.59;Module 1_4_4;793.18;124,41;35,77;3,54;126,80;-2,39
05,11.2019 15:12:59;36.9;2.49;300;520.1918341775341;290.32;Module 1_4_4;563.19;91,88;35,82;2,47;88,38;3,50
05,11.2019 15:14:51;36.5;2.96;301.5;643.6160645077508;290.67;Module 1_4_4;696.98;108,04;35,56;3,09;110,04;-2,00
05,11.2019 15:16:44;36.5;2.52;301.5;607.951308720996;291.04;Module 1_4_4;658.52;91,98;35,57;2,91;103,64;-11,66
05,11.2019 15:37:48;37.3;1.86;301.5;595.90539874501;287.26;Module 1_4_4;647.67;69,38;35,58;2,85;101,47;-32,09
05,11.2019 15:39:42;37;1.18;301.5;339.04171977935187;287.93;Module 1_4_4;368.63;43,66;35,28;1,55;54,69;-11,03
05,11.2019 16:23:33;40.4;0.58;294;302.26214884399104;285.44;Module 1_4_4;332.79;23,43;36,47;1,36;49,48;-26,05
05,11.2019 16:25:26;40.4;0.59;294;355.4719263805038;286.07;Module 1_4_4;391.67;23,84;36,65;1,63;59,59;-35,76
05,11.2019 16:27:20;40.2;0.56;296;392.3377561051948;286.6;Module 1_4_4;432.63;22,51;36,38;1,81;66,03;-43,52
05,11.2019 16:29:12;40.4;0.52;296;403.6241592110079;287.34;Module 1_4_4;445.43;21,01;36,40;1,87;68,15;-47,14
05,11.2019 16:31:05;40.4;0.52;296;442.6929569606505;288.07;Module 1_4_4;488.95;21,01;36,46;2,07;75,48;-54,47
05,11.2019 16:32:58;40.4;0.57;298;412.2094863244211;288.64;Module 1_4_4;455.67;23,03;36,06;1,92;69,16;-46,13
05,11.2019 16:34:50;40.2;0.61;298;294.8217430976493;288.98;Module 1_4_4;326.19;24,52;35,73;1,32;47,28;-22,76
05,11.2019 16:36:43;39.9;0.66;299.5;298.2026274455296;289.25;Module 1_4_4;330.23;26,33;35,48;1,34;47,61;-21,27
06,11.2019 10:56:09;39.2;1.11;288.9;338.74115980563954;281.02;Module 1_4_4;381.43;43,51;37,49;1,54;57,59;-14,08
06,11.2019 10:58:02;40.3;1.26;288.9;316.3655333021581;281.65;Module 1_4_4;355.83;50,78;37,41;1,42;53,24;-2,46
06,11.2019 11:06:15;38.3;1.44;291.5;297.25355835968566;282.07;Module 1_4_4;332.79;55,15;36,89;1,33;49,02;6,13
06,11.2019 11:08:12;38;1.22;291.5;325.0262528931346;282.33;Module 1_4_4;363.51;46,36;36,99;1,47;54,36;-8,00
06,11.2019 11:58:31;37.4;2.96;291.5;590.3850876836519;282.73;Module 1_4_4;647.67;110,70;37,31;2,81;105,02;5,68
06,11.2019 12:00:23;37.5;2.78;291.5;560.33470922653;283.43;Module 1_4_4;614.39;104,25;37,31;2,66;99,34;4,91
06,11.2019 12:12:18;36.1;1.56;293.5;463.6630833329983;283.46;Module 1_4_4;506.87;56,32;36,91;2,17;80,27;-23,95
06,11.2019 14:35:53;37.4;1.81;292;629.3590887292307;283.28;Module 1_4_4;679.94;67,69;37,21;3,01;112,13;-44,43
