moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;122,89;15,30;7,87;29,72;0,48
String 1,2;121,49;16,02;7,80;29,42;0,48
String 1,3;122,11;13,96;7,82;29,60;0,45
String 1,4;127,55;14,03;8,00;30,47;0,50
String 1,5;127,25;12,31;8,00;30,43;0,46
String 1,6;124,77;15,37;7,93;30,41;0,48
String 1,7;125,82;17,62;7,96;30,63;0,52
String 1,8;124,53;14,38;7,89;30,34;0,52
String 1,9;125,36;20,78;7,90;30,56;0,53
String 1,10;124,55;10,95;7,90;30,35;0,53
String 1,11;122,55;16,74;7,84;29,98;0,52
String 1,12;124,60;14,25;7,88;30,33;0,54
String 2,1;125,14;8,93;7,92;30,58;0,57
String 2,2;121,89;20,93;7,80;28,23;0,55
String 2,3;125,18;13,92;7,92;28,88;0,55
String 2,4;124,05;17,64;7,88;30,32;0,54
Module 1,1_1;145,88;13,59;8,39;33,49;0,57
Module 1,1_2;145,33;12,00;8,38;34,00;0,56
Module 1,1_3;144,99;15,29;8,42;33,29;0,56
Module 1,1_4;145,97;21,92;8,39;33,90;0,57
Module 1,1_5;145,23;14,74;8,38;34,26;0,56
Module 1,1_6;141,94;11,44;8,33;33,13;0,56
Module 1,1_7;146,16;14,28;8,40;33,33;0,57
Module 1,1_8;138,00;22,85;8,37;34,07;0,53
Module 1,1_9;143,82;14,80;8,38;34,31;0,56
Module 1,1_10;145,81;14,99;8,38;34,11;0,57
Module 1,1_11;127,55;15,68;8,29;32,62;0,50
Module 1,1_12;140,48;14,67;8,27;32,26;0,56
Module 1,1_13;145,41;15,18;8,38;33,79;0,57
Module 1,1_14;146,02;13,80;8,40;33,90;0,57
Module 1,1_15;146,10;21,64;8,39;33,11;0,57
Module 1,1_16;145,91;15,19;8,38;33,56;0,57
Module 1,1_17;144,30;15,39;8,35;35,06;0,56
Module 1,1_18;143,55;15,37;8,42;32,97;0,56
Module 1,2_1;137,95;14,56;8,26;34,28;0,55
Module 1,2_2;145,40;16,51;8,38;34,54;0,58
Module 1,2_3;145,65;15,27;8,38;34,20;0,58
