module;pmpp;month
Module 1,1_9;173,82553625758044;October_2019
String 1,1;184,48567189539017;October_2019
Module 1,1_2;166,83352618802633;October_2019
Module 1,1_3;172,34096753180924;October_2019
Module 1,1_4;176,7519967129682;October_2019
Module 1,1_5;178,0536254936472;October_2019
Module 1,1_6;169,82871596900185;October_2019
Module 1,1_7;171,14589782781266;October_2019
Module 1,1_8;177,40315612727943;October_2019
Module 1,1_1;175,1107588138047;October_2019
Module 1,1_10;170,9631833603785;October_2019
Module 1,1_11;172,58322721046156;October_2019
Module 1,1_12;172,93505842308022;October_2019
Module 1,1_13;178,9400793753179;October_2019
Module 1,1_14;181,60339395439277;October_2019
Module 1,1_15;171,41200356020678;October_2019
Module 1,1_16;173,1227334535483;October_2019
Module 1,1_17;171,7448925646499;October_2019
Module 1,1_18;180,084183141983;October_2019
Module 1,10_9;180,4356689422837;October_2019
String 1,10;182,70084585085073;October_2019
Module 1,10_2;167,27980904308265;October_2019
Module 1,10_3;177,42748146249323;October_2019
Module 1,10_4;175,7607935628;October_2019
Module 1,10_5;177,87645680299528;October_2019
Module 1,10_6;177,79786509877874;October_2019
Module 1,10_7;174,7987132361886;October_2019
Module 1,10_8;180,1487144747767;October_2019
Module 1,10_1;178,5126347206023;October_2019
Module 1,10_10;181,38899551558123;October_2019
Module 1,10_11;180,86258488699517;October_2019
Module 1,10_12;174,47895599190997;October_2019
Module 1,10_13;174,67878348245318;October_2019
Module 1,10_14;177,18241782605168;October_2019
Module 1,10_15;174,17707102970655;October_2019
Module 1,10_16;178,56628160814165;October_2019
Module 1,10_17;184,46772447157952;October_2019
Module 1,10_18;174,6685687724403;October_2019
Module 1,11_9;176,1433836459462;October_2019
String 1,11;169,0090546196931;October_2019
Module 1,11_2;175,25714825393501;October_2019
Module 1,11_3;173,044754224537;October_2019
Module 1,11_4;172,3579929886369;October_2019
Module 1,11_5;175,35984387245466;October_2019
Module 1,11_6;170,98925961379456;October_2019
Module 1,11_7;173,0467743326575;October_2019
Module 1,11_8;173,31375014358926;October_2019
Module 1,11_1;176,26933589895415;October_2019
Module 1,11_10;173,87810174559866;October_2019
Module 1,11_11;176,4249193236949;October_2019
Module 1,11_12;169,68906987843607;October_2019
Module 1,11_13;169,04280882466557;October_2019
Module 1,11_14;173,37161523805497;October_2019
Module 1,11_15;170,39284519712336;October_2019
Module 1,11_16;175,1753357634012;October_2019
Module 1,11_17;173,7234157423384;October_2019
Module 1,11_18;174,57537501899185;October_2019
Module 1,12_9;181,1654535676872;October_2019
String 1,12;184,76003443737264;October_2019
Module 1,12_2;174,70457807383292;October_2019
Module 1,12_3;175,10114236267822;October_2019
Module 1,12_4;176,74060866640988;October_2019
Module 1,12_5;181,3000932433231;October_2019
Module 1,12_6;180,3495183994314;October_2019
Module 1,12_7;176,67144016701135;October_2019
Module 1,12_8;175,69782573425002;October_2019
Module 1,12_1;178,9836616433941;October_2019
Module 1,12_10;177,0766559932202;October_2019
Module 1,12_11;175,57203356137018;October_2019
Module 1,12_12;177,2813141233025;October_2019
Module 1,12_13;176,0297997781339;October_2019
Module 1,12_14;175,74456737591936;October_2019
Module 1,12_15;176,76907522365494;October_2019
Module 1,12_16;176,1609770401818;October_2019
Module 1,12_17;175,05755894380007;October_2019
Module 1,12_18;175,47927165316676;October_2019
Module 1,2_9;172,09288789799626;October_2019
String 1,2;172,2484566661845;October_2019
Module 1,2_2;183,187191016547;October_2019
Module 1,2_3;178,2036584795534;October_2019
Module 1,2_4;178,21351043642167;October_2019
Module 1,2_5;187,30144383037998;October_2019
Module 1,2_6;168,9728646471903;October_2019
Module 1,2_7;176,76700196574703;October_2019
Module 1,2_8;168,59587975785732;October_2019
Module 1,2_1;173,31992553760443;October_2019
Module 1,2_10;174,54739785421998;October_2019
Module 1,2_11;174,65547013055664;October_2019
Module 1,2_12;175,80723769175054;October_2019
Module 1,2_13;173,73427550922457;October_2019
Module 1,2_14;169,6812941488065;October_2019
Module 1,2_15;170,34362002450362;October_2019
Module 1,2_16;170,85120978818574;October_2019
Module 1,2_17;167,3224570198503;October_2019
Module 1,2_18;177,35501399797158;October_2019
Module 1,3_9;180,61484028119426;October_2019
String 1,3;136,70309137423976;October_2019
Module 1,3_2;181,52870770634908;October_2019
Module 1,3_3;179,99498672024257;October_2019
Module 1,3_4;182,02574141898012;October_2019
Module 1,3_5;178,39478085995293;October_2019
Module 1,3_6;179,8973731597466;October_2019
Module 1,3_7;177,8923354219286;October_2019
Module 1,3_8;182,23911722836144;October_2019
Module 1,3_1;179,4292329312291;October_2019
Module 1,3_10;179,894707671207;October_2019
Module 1,3_11;181,02240915249442;October_2019
Module 1,3_12;179,50261360737161;October_2019
Module 1,3_13;179,8721296381114;October_2019
Module 1,3_14;176,35460489434533;October_2019
Module 1,3_15;177,54161750312758;October_2019
Module 1,3_16;180,43335632836997;October_2019
Module 1,3_17;179,3225763619471;October_2019
Module 1,3_18;177,94710989082628;October_2019
Module 1_4_9;192,26225839831773;October_2019
String 1,4;183,28861384119958;October_2019
Module 1_4_2;179,9866800527814;October_2019
Module 1_4_3;169,51685275193188;October_2019
Module 1_4_4;180,91561185470601;October_2019
Module 1_4_5;186,36200308664036;October_2019
Module 1_4_6;179,61084414893466;October_2019
Module 1_4_7;180,99180740494802;October_2019
Module 1_4_8;189,97435313113237;October_2019
Module 1_4_1;0;October_2019
Module 1_4_10;180,5072358919931;October_2019
Module 1_4_11;180,27109966235994;October_2019
Module 1_4_12;173,6671214087566;October_2019
Module 1_4_13;190,2182568329425;October_2019
Module 1_4_14;178,23206984733466;October_2019
Module 1_4_15;167,67128453455476;October_2019
Module 1_4_16;173,3048025448136;October_2019
Module 1_4_17;191,53663717316877;October_2019
Module 1_4_18;176,22674501516505;October_2019
Module 1,5_9;176,47996134512192;October_2019
String 1,5;155,78809861562013;October_2019
Module 1,5_2;176,8442524967544;October_2019
Module 1,5_3;178,2163846767354;October_2019
Module 1,5_4;176,26010679581148;October_2019
Module 1,5_5;174,98456352684173;October_2019
Module 1,5_6;177,72675661445572;October_2019
Module 1,5_7;170,24163327320505;October_2019
Module 1,5_8;176,9788834638413;October_2019
Module 1,5_1;175,39313305574632;October_2019
Module 1,5_10;175,20776338136284;October_2019
