date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 08:32:54;30.3;0.07;296.6;11.92702025539895;287.66;Module 1_4_5;16.29;2,12;5,98;0,03;0,19;1,93
30,09.2019 08:34:47;29.9;0.09;296.6;13.987921649291813;287.6;Module 1_4_5;18.82;2,69;7,01;0,04;0,26;2,43
30,09.2019 08:36:41;30.8;0.09;296.6;15.605312699705603;287.57;Module 1_4_5;20.71;2,77;7,82;0,04;0,33;2,44
30,09.2019 08:38:34;28.2;0.1;298.6;16.08951361529712;287.59;Module 1_4_5;21.09;2,82;8,07;0,04;0,35;2,47
30,09.2019 08:40:51;28.4;0.09;298.6;15.157390337007875;287.67;Module 1_4_5;19.6;2,56;7,60;0,04;0,31;2,24
30,09.2019 08:42:45;28.8;0.09;298.6;14.837462129284209;287.73;Module 1_4_5;18.99;2,59;7,44;0,04;0,30;2,29
30,09.2019 08:44:38;28;0.07;298.6;13.00570947636565;287.78;Module 1_4_5;16.49;1,96;6,52;0,04;0,23;1,73
30,09.2019 08:46:31;28.4;0.08;298.6;13.707868836166465;287.82;Module 1_4_5;17.23;2,27;6,88;0,04;0,25;2,02
30,09.2019 08:48:38;29.9;0.08;298.6;14.25741022697682;287.86;Module 1_4_5;17.76;2,39;7,15;0,04;0,28;2,12
30,09.2019 08:50:42;30.7;0.07;298.6;14.81065387985622;287.88;Module 1_4_5;18.3;2,15;7,43;0,04;0,30;1,85
30,09.2019 08:52:36;30.9;0.09;298.6;16.152456095894603;287.85;Module 1_4_5;19.82;2,78;8,10;0,04;0,35;2,43
30,09.2019 08:54:29;30.5;0.1;298.6;16.920941567538836;287.82;Module 1_4_5;20.63;3,05;8,48;0,05;0,39;2,66
30,09.2019 08:56:29;29;0.1;298.6;17.194349451151346;287.76;Module 1_4_5;20.83;2,90;8,63;0,05;0,40;2,50
30,09.2019 08:58:22;29.5;0.11;298.6;19.192423764120516;287.71;Module 1_4_5;23.12;3,25;9,63;0,05;0,50;2,75
30,09.2019 09:00:17;28.6;0.09;298.6;16.22477004808868;287.71;Module 1_4_5;19.44;2,57;8,13;0,04;0,36;2,22
30,09.2019 09:02:11;28.1;0;298.6;10.015474100216245;287.75;Module 1_4_5;11.94;0,00;5,02;0,03;0,14;-0,14
30,09.2019 09:04:07;28.2;0;298.6;6.759872001744376;287.77;Module 1_4_5;8.02;0,00;3,39;0,02;0,06;-0,06
30,09.2019 09:06:01;33.4;0;298.6;11.446893589029724;287.69;Module 1_4_5;13.52;0,00;5,74;0,03;0,18;-0,18
30,09.2019 09:07:54;36.2;0;298.6;16.707087043997767;287.53;Module 1_4_5;19.65;0,00;8,38;0,05;0,38;-0,38
30,09.2019 09:09:48;37.2;0;300.1;26.787924274071617;287.51;Module 1_4_5;31.38;0,00;13,45;0,07;0,97;-0,97
30,09.2019 09:12:04;38.1;0;300.1;36.07684066895718;287.56;Module 1_4_5;42.07;0,00;18,10;0,10;1,77;-1,77
30,09.2019 09:13:57;32.2;0.24;300.1;42.823781596055696;287.6;Module 1_4_5;49.76;7,73;21,48;0,12;2,49;5,24
30,09.2019 09:15:53;31.5;0.18;300.1;31.51312596469973;287.64;Module 1_4_5;36.49;5,67;15,81;0,09;1,35;4,32
30,09.2019 09:17:46;31;0.15;300.1;28.21020802750467;287.69;Module 1_4_5;32.56;4,65;14,16;0,08;1,08;3,57
30,09.2019 09:19:44;30.5;0.16;299.1;29.28337233924072;287.7;Module 1_4_5;33.69;4,88;14,69;0,08;1,16;3,72
30,09.2019 09:21:38;30.9;0.16;299.1;29.100165640686544;287.71;Module 1_4_5;33.38;4,94;14,59;0,08;1,15;3,80
30,09.2019 09:23:30;30.5;0.14;299.1;25.466006088434163;287.73;Module 1_4_5;29.13;4,27;12,77;0,07;0,88;3,39
30,09.2019 09:25:24;30.4;0.12;299.1;23.35257627836777;287.74;Module 1_4_5;26.64;3,65;11,71;0,06;0,74;2,91
30,09.2019 09:27:18;30.7;0.14;299.1;26.990493434058116;287.74;Module 1_4_5;30.71;4,30;13,54;0,07;0,99;3,31
30,09.2019 09:29:11;31.3;0.2;299.1;36.62565511583076;287.74;Module 1_4_5;41.57;6,26;18,37;0,10;1,82;4,44
30,09.2019 09:31:10;30.6;0.18;299.1;33.48450813990413;287.75;Module 1_4_5;37.91;5,51;16,80;0,09;1,52;3,99
30,09.2019 09:33:03;31.4;0.21;299.1;39.11147943070546;287.73;Module 1_4_5;44.18;6,59;19,62;0,11;2,07;4,52
30,09.2019 09:35:22;32;0.26;299.6;45.518730429491995;287.75;Module 1_4_5;51.28;8,32;22,80;0,12;2,81;5,51
30,09.2019 09:37:17;31.8;0.2;299.6;33.375418542740015;287.75;Module 1_4_5;37.52;6,36;16,74;0,09;1,51;4,85
30,09.2019 09:39:09;31.2;0.22;299.1;39.25323125780403;287.73;Module 1_4_5;44.04;6,86;19,69;0,11;2,09;4,78
30,09.2019 09:41:04;31.3;0.28;299.1;54.08399793184502;287.71;Module 1_4_5;60.56;8,76;26,84;0,15;3,96;4,80
30,09.2019 09:42:58;32.5;0.41;299.1;75.06019440953008;287.72;Module 1_4_5;83.89;13,32;32,02;0,23;7,36;5,96
30,09.2019 09:44:50;33.5;0.47;300.1;90.31535056223717;287.77;Module 1_4_5;100.76;15,74;33,13;0,30;10,04;5,71
30,09.2019 09:46:57;33.3;0.46;300.1;88.60534761644959;287.83;Module 1_4_5;98.66;15,32;33,03;0,29;9,73;5,59
30,09.2019 09:48:49;33.6;0.3;300.1;59.380960246199464;287.87;Module 1_4_5;66.01;10,08;28,81;0,17;4,76;5,32
30,09.2019 09:50:47;31.8;0.29;300.1;54.43492378648501;287.82;Module 1_4_5;60.41;9,22;26,98;0,15;4,01;5,21
