date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 08:25:09;31.9;0;287.9;3.716790629475109;287.8;Module 1,7_8;5.61;0,00;1,84;0,01;0,02;-0,02
30,09.2019 08:27:03;32;0;287.9;5.0294067627328465;287.8;Module 1,7_8;7.4;0,00;2,48;0,01;0,03;-0,03
30,09.2019 08:28:58;33.4;0;292.5;6.521194360367872;287.8;Module 1,7_8;9.38;0,00;3,23;0,02;0,06;-0,06
30,09.2019 08:30:50;34.8;0;292.5;9.011150829304283;287.75;Module 1,7_8;12.71;0,00;4,45;0,02;0,11;-0,11
30,09.2019 08:32:48;29.7;0.08;292.5;11.273133878719962;287.67;Module 1,7_8;15.61;2,38;5,57;0,03;0,17;2,21
30,09.2019 08:34:41;30.1;0.09;292.5;13.808524866076473;287.6;Module 1,7_8;18.82;2,71;6,83;0,04;0,25;2,46
30,09.2019 08:36:35;30.4;0.09;292.5;15.23807977967861;287.57;Module 1,7_8;20.47;2,74;7,53;0,04;0,31;2,43
30,09.2019 08:38:28;30.7;0.09;292.5;15.905676893907598;287.59;Module 1,7_8;21.09;2,76;7,86;0,04;0,33;2,43
30,09.2019 08:40:46;30.8;0.08;292.5;14.996477292839531;287.67;Module 1,7_8;19.6;2,46;7,41;0,04;0,30;2,17
30,09.2019 08:42:39;30.7;0.08;292.5;14.678639705074655;287.72;Module 1,7_8;18.98;2,46;7,26;0,04;0,28;2,17
30,09.2019 08:44:33;30.6;0.07;292.5;12.880590919828364;287.78;Module 1,7_8;16.49;2,14;6,37;0,03;0,22;1,92
30,09.2019 08:46:25;29.9;0.07;292.5;13.58087081610956;287.82;Module 1,7_8;17.23;2,09;6,71;0,04;0,24;1,85
30,09.2019 08:48:32;29.8;0.07;291;14.131746735060698;287.86;Module 1,7_8;17.76;2,09;6,98;0,04;0,26;1,82
30,09.2019 08:50:36;30;0.08;291;14.686070414250164;287.88;Module 1,7_8;18.3;2,40;7,26;0,04;0,28;2,12
30,09.2019 08:52:30;30.4;0.09;292.5;15.763407411718383;287.86;Module 1,7_8;19.5;2,74;7,79;0,04;0,33;2,41
30,09.2019 08:54:23;30.3;0.09;292.5;16.789674496611415;287.82;Module 1,7_8;20.63;2,73;8,30;0,04;0,37;2,36
30,09.2019 08:56:24;30.7;0.09;292.5;17.06719550442115;287.76;Module 1,7_8;20.83;2,76;8,44;0,05;0,38;2,38
30,09.2019 08:58:17;30.9;0.1;292.5;18.9237614847004;287.71;Module 1,7_8;22.96;3,09;9,35;0,05;0,47;2,62
30,09.2019 09:00:11;31;0.08;292.5;16.11250116431266;287.71;Module 1,7_8;19.44;2,48;7,96;0,04;0,34;2,14
