date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 11:45:31;34.8;2.6;294;369.85978513037526;289.57;Module 1_4_13;391.67;90,48;34,68;1,68;58,31;32,17
30,09.2019 12:03:52;34.5;1.64;297.5;332.227023035854;290.87;Module 1_4_13;350.71;56,58;33,90;1,49;50,60;5,98
30,09.2019 12:05:45;34.5;2.94;297.5;689.0569970890647;291.18;Module 1_4_13;727.18;101,43;34,53;3,33;114,87;-13,44
30,09.2019 12:07:38;34.6;4.77;297.5;953.5981478328442;291.69;Module 1_4_13;1006.07;165,04;34,48;4,69;161,61;3,43
30,09.2019 12:09:32;34.2;4.94;297.5;712.0514183113798;292.5;Module 1_4_13;751.02;168,95;34,54;3,44;118,98;49,97
30,09.2019 12:13:23;33.7;3.82;299.5;475.97977402570507;292.89;Module 1_4_13;501.75;128,73;33,96;2,23;75,84;52,89
30,09.2019 12:23:09;34.2;4.84;301.5;965.3789566030503;292.07;Module 1_4_13;1016.31;165,53;33,76;4,75;160,40;5,13
30,09.2019 12:29:01;34.9;1.22;301.5;528.0551296385205;292.34;Module 1_4_13;555.51;42,58;33,69;2,50;84,32;-41,74
30,09.2019 12:42:30;34;1.85;297.5;372.87478821518016;290.81;Module 1_4_13;391.67;62,90;34,05;1,70;57,94;4,96
30,09.2019 12:46:22;34.4;4.57;297.5;917.7967287034089;291.28;Module 1_4_13;963.68;157,21;34,50;4,50;155,35;1,86
30,09.2019 12:48:17;34.4;2.97;298;659.2528653218536;292.15;Module 1_4_13;692.08;102,17;34,43;3,17;109,28;-7,11
30,09.2019 12:50:19;33.8;1.44;298;487.8006453255303;292.81;Module 1_4_13;511.99;48,67;34,26;2,29;78,52;-29,85
30,09.2019 12:54:10;33.8;4.69;300;956.4419054998704;293.04;Module 1_4_13;1003.51;158,52;34,03;4,70;160,09;-1,57
30,09.2019 12:56:03;33.3;2.03;300;341.6383572559755;293.44;Module 1_4_13;358.39;67,60;33,48;1,54;51,70;15,90
30,09.2019 12:57:56;33.6;2.99;302;762.5717137762074;293.26;Module 1_4_13;799.83;100,46;33,73;3,71;125,14;-24,67
30,09.2019 12:59:49;33.9;4.75;302;978.8897920312747;293.34;Module 1_4_13;1026.55;161,03;33,66;4,82;162,29;-1,26
30,09.2019 13:05:40;33.6;2.43;303.5;366.33917806523607;292.44;Module 1_4_13;383.99;81,65;32,95;1,67;55,18;26,47
30,09.2019 13:07:23;32.9;5.49;303.5;1001.4791777843124;292.82;Module 1_4_13;1049.59;180,62;33,38;4,94;164,84;15,78
30,09.2019 13:09:22;33.3;1.91;303.5;544.7858842964961;293.33;Module 1_4_13;570.87;63,60;33,34;2,59;86,41;-22,80
30,09.2019 13:15:08;33.8;1.55;302;295.2829294535351;292.59;Module 1_4_13;309.29;52,39;32,89;1,31;43,06;9,33
30,09.2019 13:17:04;34;1.79;302;364.2050264670831;292.56;Module 1_4_13;381.43;60,86;33,21;1,66;55,20;5,66
30,09.2019 13:18:58;34.4;4.52;302;819.5696822597686;293.03;Module 1_4_13;858.22;155,49;33,73;4,00;135,00;20,49
30,09.2019 13:21:04;33.8;1.51;301.5;292.8042191667389;293.66;Module 1_4_13;306.57;51,04;32,97;1,30;42,72;8,32
30,09.2019 13:23:05;33.8;1.68;301.5;325.2242582260617;293.59;Module 1_4_13;340.47;56,78;33,14;1,46;48,44;8,34
30,09.2019 13:24:58;33.8;3.16;301.5;743.4506440647574;293.89;Module 1_4_13;778.21;106,81;33,82;3,61;122,13;-15,32
30,09.2019 13:38:07;34.3;3.04;299.5;692.5166927409093;291.79;Module 1_4_13;724.36;104,27;34,17;3,35;114,37;-10,09
30,09.2019 13:40:01;34.4;5.02;299.5;738.2085714696468;292.14;Module 1_4_13;772.08;172,69;34,18;3,58;122,43;50,26
30,09.2019 13:41:59;34.1;1.37;299.5;288.0421535025597;292.34;Module 1_4_13;301.23;46,72;33,30;1,27;42,26;4,45
30,09.2019 13:44:03;34.2;4.8;299.5;979.2535718295916;293.08;Module 1_4_13;1023.99;164,16;34,11;4,82;164,43;-0,27
30,09.2019 13:45:55;33.9;5.07;299.5;1016.0607873117426;293.82;Module 1_4_13;1062.39;171,87;34,08;5,01;170,76;1,12
30,09.2019 13:47:57;32.9;5.28;299.5;1065.1214239497572;295.2;Module 1_4_13;1113.59;173,71;34,05;5,26;179,15;-5,44
30,09.2019 13:50:01;32.2;1.77;302;364.8596476687322;296.07;Module 1_4_13;381.43;56,99;33,21;1,67;55,31;1,68
30,09.2019 13:52:37;32.7;1.64;302;340.40675531825525;295.72;Module 1_4_13;355.83;53,63;33,12;1,54;51,00;2,63
30,09.2019 13:54:35;33.4;5.37;304;1072.7486337591477;295.66;Module 1_4_13;1121.27;179,36;33,23;5,31;176,31;3,05
30,09.2019 13:57:00;33;3.96;304;1080.1899108696489;296.19;Module 1_4_13;1128.95;130,68;33,23;5,34;177,55;-46,87
30,09.2019 13:58:58;32.1;1.42;304;295.0806441573312;296.08;Module 1_4_13;308.38;45,58;32,52;1,31;42,63;2,96
30,09.2019 14:00:53;33.2;1.81;305.5;352.7542489533085;295.82;Module 1_4_13;368.63;60,09;32,52;1,61;52,29;7,80
30,09.2019 14:04:44;32.6;1.7;305.5;360.1453277110608;295.1;Module 1_4_13;376.31;55,42;32,55;1,65;53,57;1,85
30,09.2019 14:06:40;33.4;2.96;305.5;683.3663773143301;294.9;Module 1_4_13;714;98,86;33,09;3,31;109,38;-10,52
30,09.2019 14:14:24;33.2;3.92;303.5;658.9866469202569;294;Module 1_4_13;688.4;130,14;33,44;3,18;106,29;23,86
30,09.2019 14:16:18;34;3.01;303.5;583.2598400144296;293.89;Module 1_4_13;609.27;102,34;33,38;2,79;93,12;9,22
30,09.2019 14:18:15;33.8;1.49;302;293.0620779774583;293.8;Module 1_4_13;306.12;50,36;32,88;1,30;42,67;7,69
30,09.2019 14:20:39;33.6;1.7;302;350.4688844082518;293.47;Module 1_4_13;366.07;57,12;33,16;1,59;52,78;4,34
30,09.2019 14:22:32;33.8;5.66;302;1132.3373386785963;293.85;Module 1_4_13;1182.71;191,31;33,54;5,61;188,14;3,17
30,09.2019 14:24:26;33.3;1.49;301.5;377.44901395693375;294.1;Module 1_4_13;394.23;49,62;33,34;1,73;57,67;-8,06
30,09.2019 14:27:08;33.8;4.03;301.5;563.7448200640207;294.39;Module 1_4_13;588.79;136,21;33,73;2,69;90,62;45,60
30,09.2019 14:33:13;32.5;1.48;301.5;370.1252274883041;293.45;Module 1_4_13;386.55;48,10;33,32;1,69;56,38;-8,28
30,09.2019 14:39:18;34.2;1.85;301.5;563.7815801246533;293.36;Module 1_4_13;588.79;63,27;33,73;2,69;90,62;-27,35
30,09.2019 14:41:16;34.9;4.44;301.5;705.8392834275585;293.38;Module 1_4_13;737.15;154,96;33,82;3,42;115,56;39,39
30,09.2019 14:43:12;34.9;1.94;301.5;387.2882996636705;293.57;Module 1_4_13;404.47;67,71;33,38;1,78;59,41;8,29
30,09.2019 14:45:14;34.2;1.85;301.5;384.8339455981812;293.62;Module 1_4_13;401.91;63,27;33,37;1,77;58,98;4,29
30,09.2019 14:53:14;33.6;1.4;301.5;428.9274694836821;292.63;Module 1_4_13;447.99;47,04;33,50;1,99;66,79;-19,75
30,09.2019 14:55:25;34.2;1.61;301.5;340.67940726254784;292.71;Module 1_4_13;355.83;55,06;33,20;1,54;51,17;3,89
30,09.2019 15:06:21;34;1.62;298;323.45546572839714;292.03;Module 1_4_13;337.91;55,08;33,77;1,45;48,91;6,17
30,09.2019 15:08:54;33.8;1.52;298;298.2133671357657;292.5;Module 1_4_13;311.56;51,38;33,64;1,32;44,37;7,00
30,09.2019 15:22:10;34;1.46;299.5;502.0875200840923;292.49;Module 1_4_13;524.79;49,64;34,01;2,37;80,51;-30,87
30,09.2019 16:03:27;34.3;1.74;295.5;486.0817855172777;291.06;Module 1_4_13;509.43;59,68;34,70;2,28;79,13;-19,45
30,09.2019 16:53:45;34.2;1.69;295.5;458.3028731082107;290.95;Module 1_4_13;483.83;57,80;34,66;2,14;74,06;-16,27
30,09.2019 16:58:11;34;3.43;295.5;690.6664831300307;291.9;Module 1_4_13;729.84;116,62;34,89;3,33;116,28;0,34
30,09.2019 17:00:16;34.4;2.8;296;549.6568431415448;292.7;Module 1_4_13;581.11;96,32;34,70;2,61;90,50;5,82
30,09.2019 17:46:27;33.4;1.91;293.5;419.23857264641515;291.3;Module 1_4_13;450.55;63,79;34,92;1,93;67,54;-3,75
30,09.2019 17:50:53;32.6;2.21;295.5;288.05021143894146;292.07;Module 1_4_13;310.32;72,05;34,03;1,26;43,02;29,03
30,09.2019 17:52:51;33.4;1.05;295.5;346.52756163754475;292.28;Module 1_4_13;373.75;35,07;34,32;1,56;53,66;-18,59
30,09.2019 17:54:52;32.9;1.93;296;395.88254082090873;292.75;Module 1_4_13;427.51;63,50;34,41;1,82;62,52;0,97
01,10.2019 11:36:51;35.3;2.03;294;371.290272168942;289.27;Module 1_4_13;394.23;71,66;34,69;1,69;58,57;13,09
01,10.2019 11:38:51;34.4;1.26;295.5;335.2640712588141;289.48;Module 1_4_13;355.83;43,34;34,27;1,51;51,61;-8,26
01,10.2019 11:40:48;35.4;1.25;295.5;311.26719421716535;289.75;Module 1_4_13;330.23;44,25;34,16;1,38;47,24;-2,99
01,10.2019 11:42:47;35.2;2.06;296;523.8179814397768;290.42;Module 1_4_13;555.51;72,51;34,67;2,47;85,81;-13,30
01,10.2019 11:45:01;34.3;3.88;296;427.44598203707596;291.22;Module 1_4_13;453.11;133,08;34,49;1,98;68,27;64,81
