date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 11:45:19;35.1;1.76;295.5;369.47731032319194;289.57;Module 1,5_15;391.67;61,78;35,73;1,76;62,85;-1,07
30,09.2019 11:53:30;34.7;1.16;296;561.1426013466961;290.5;Module 1,5_15;593.91;40,25;35,79;2,73;97,75;-57,50
30,09.2019 11:59:11;36;1.1;296;295.0874775155877;290.54;Module 1,5_15;312;39,60;35,45;1,38;48,99;-9,39
30,09.2019 12:03:40;34.7;2.71;296;319.8377732218234;290.85;Module 1,5_15;337.91;94,04;35,53;1,51;53,56;40,48
30,09.2019 12:05:33;34.8;1.81;298;339.3281554391903;291.14;Module 1,5_15;358.39;62,99;35,23;1,61;56,62;6,37
30,09.2019 12:07:27;34.6;4.78;299.5;952.8535673089171;291.69;Module 1,5_15;1006.07;165,39;34,81;4,71;164,13;1,26
30,09.2019 12:09:20;34.8;2.99;299.5;868.3292420911489;292.42;Module 1,5_15;916.55;104,05;34,94;4,29;149,78;-45,73
30,09.2019 12:13:11;33.9;4.76;301.5;721.392810865437;292.8;Module 1,5_15;761;161,36;34,74;3,55;123,19;38,18
30,09.2019 12:22:58;34.1;4.94;301.5;911.3346153682585;291.97;Module 1,5_15;960.01;168,45;34,52;4,51;155,56;12,90
30,09.2019 12:42:18;34.8;1.85;299.5;372.7126412785535;290.81;Module 1,5_15;391.67;64,38;35,03;1,78;62,27;2,11
30,09.2019 12:44:13;34.7;1.36;299.5;341.11684049812226;291.17;Module 1,5_15;358.39;47,19;34,96;1,62;56,55;-9,35
30,09.2019 12:46:11;34.1;2.15;299.5;609.2765533680237;291.19;Module 1,5_15;639.99;73,31;35,16;2,98;104,68;-31,37
30,09.2019 12:48:06;35.3;4.4;299.5;786.6843020629719;292.04;Module 1,5_15;826.17;155,32;35,03;3,88;135,75;19,57
30,09.2019 12:52:05;33.8;4.92;300;970.57876960305;292.72;Module 1,5_15;1018.87;166,30;34,70;4,80;166,70;-0,40
30,09.2019 12:53:59;34.3;4.71;301.5;953.6918480372444;292.96;Module 1,5_15;1000.95;161,55;34,47;4,72;162,65;-1,09
30,09.2019 12:55:52;32.9;1.49;301.5;341.53314706230213;293.44;Module 1,5_15;358.39;49,02;34,60;1,62;56,08;-7,06
30,09.2019 12:57:44;33;1.19;301.5;348.9153589170079;293.32;Module 1,5_15;366.07;39,27;34,63;1,66;57,41;-18,14
30,09.2019 12:59:37;34.2;4.81;302;961.5368036079174;293.29;Module 1,5_15;1008.63;164,50;34,37;4,76;163,54;0,96
30,09.2019 13:05:29;33.8;1.45;303.5;366.2580087812996;292.44;Module 1,5_15;383.99;49,01;34,30;1,75;59,93;-10,92
30,09.2019 13:07:12;35;5.37;303.5;1001.2725579159385;292.82;Module 1,5_15;1049.59;187,95;34,05;4,96;168,84;19,11
30,09.2019 13:09:11;33.9;2.77;303.5;544.6830574318386;293.33;Module 1,5_15;570.87;93,90;34,47;2,65;91,39;2,51
30,09.2019 13:14:57;34.1;1.79;303.5;349.44326349012397;292.62;Module 1,5_15;366.07;61,04;34,27;1,66;56,95;4,09
30,09.2019 13:16:53;34.5;1.79;303.5;364.1609371784702;292.56;Module 1,5_15;381.43;61,76;34,30;1,74;59,56;2,20
30,09.2019 13:20:53;34.9;1.49;302;288.8252255523796;293.67;Module 1,5_15;302.43;52,00;34,35;1,35;46,51;5,49
