String 1,1;205,74;23,28;15,63;30,70;0,85
String 1,2;203,31;24,01;15,54;30,47;0,89
String 1,3;203,11;21,89;15,53;30,49;0,85
String 1,4;205,56;21,95;15,60;30,70;0,91
String 1,5;207,16;20,21;15,68;30,82;0,94
String 1,6;204,81;23,91;15,60;30,83;0,94
String 1,7;207,71;26,35;15,65;31,18;0,94
String 1,8;205,95;22,83;15,63;31,02;0,91
String 1,9;207,26;29,30;15,67;31,17;0,93
String 1,10;205,23;20,00;15,61;30,92;0,94
String 1,11;205,31;25,41;15,60;30,87;0,93
String 1,12;205,65;22,77;15,62;30,88;0,94
String 2,1;205,37;17,26;15,62;30,93;0,95
String 2,2;203,62;29,39;15,54;29,00;0,93
String 2,3;208,49;22,38;15,70;29,61;0,92
String 2,4;208,33;26,29;15,71;31,23;0,93
Module 1,1_1;231,32;21,87;16,12;33,02;0,95
Module 1,1_2;230,58;20,28;16,17;33,35;0,94
Module 1,1_3;231,89;23,80;16,23;33,02;0,95
Module 1,1_4;228,32;30,56;16,14;33,74;0,94
Module 1,1_5;230,04;23,22;16,21;33,44;0,95
Module 1,1_6;214,98;19,50;15,76;33,12;0,89
Module 1,1_7;231,10;23,00;16,19;33,06;0,95
Module 1,1_8;227,27;31,65;16,17;33,74;0,94
Module 1,1_9;226,61;23,23;16,14;33,89;0,94
Module 1,1_10;230,85;23,34;16,18;33,56;0,94
Module 1,1_11;210,31;24,07;16,01;32,44;0,85
Module 1,1_12;222,33;23,23;15,88;32,28;0,94
Module 1,1_13;227,94;23,81;16,10;33,54;0,95
Module 1,1_14;229,62;22,44;16,17;33,59;0,95
Module 1,1_15;231,76;30,16;16,21;32,82;0,95
Module 1,1_16;230,06;23,66;16,16;33,20;0,95
Module 1,1_17;229,92;23,40;16,15;34,66;0,94
Module 1,1_18;226,49;23,74;16,19;33,01;0,93
Module 1,2_1;230,77;23,20;16,15;33,89;1,00
Module 1,2_2;230,23;24,90;16,16;33,71;1,01
Module 1,2_3;230,43;23,91;16,17;33,54;1,01
Module 1,2_4;230,26;22,20;16,16;33,37;1,01
Module 1,2_5;230,11;32,36;16,16;34,49;1,01
Module 1,2_6;231,30;22,99;16,19;33,84;1,00
Module 1,2_7;230,25;24,54;16,12;33,39;1,00
Module 1,2_8;229,52;22,23;16,14;32,38;1,00
Module 1,2_9;231,22;26,12;16,19;33,04;1,01
Module 1,2_10;207,98;23,39;15,75;32,65;0,90
Module 1,2_11;227,12;23,57;16,12;32,95;0,99
Module 1,2_12;230,55;21,61;16,17;32,78;1,01
Module 1,2_13;229,88;22,66;16,16;32,42;1,01
Module 1,2_14;231,97;22,92;16,19;32,84;1,01
Module 1,2_15;221,38;23,69;16,00;32,49;0,96
Module 1,2_16;231,21;23,95;16,18;33,83;1,00
Module 1,2_17;230,78;54,34;16,21;33,65;1,01
Module 1,2_18;231,40;31,41;16,19;33,45;1,01
Module 1,3_1;206,68;32,60;15,51;33,39;0,89
Module 1,3_2;230,54;24,29;16,15;33,86;0,96
Module 1,3_3;230,79;32,46;16,18;33,92;0,96
Module 1,3_4;230,58;26,21;16,13;33,58;0,97
Module 1,3_5;229,56;23,04;16,12;33,21;0,96
Module 1,3_6;230,79;22,54;16,11;33,75;0,96
Module 1,3_7;231,70;21,77;16,18;33,73;0,96
Module 1,3_8;231,35;23,72;16,18;33,44;0,96
Module 1,3_9;231,52;24,20;16,18;33,82;0,96
Module 1,3_10;231,19;31,36;16,13;34,09;0,96
Module 1,3_11;231,66;23,89;16,18;33,74;0,96
Module 1,3_12;226,07;22,04;16,06;33,66;0,94
Module 1,3_13;229,31;23,00;16,10;33,35;0,96
Module 1,3_14;217,65;21,21;15,80;33,13;0,93
Module 1,3_15;211,21;20,91;15,72;33,14;0,91
Module 1,3_16;213,14;23,18;15,81;33,43;0,90
Module 1,3_17;226,39;30,46;16,01;33,19;0,96
Module 1,3_18;232,29;23,35;16,21;32,83;0,96
Module 1_4_1;230,61;57,40;16,20;32,96;1,03
Module 1_4_2;230,46;22,37;16,18;33,48;1,03
Module 1_4_3;218,01;20,48;15,31;31,52;0,98
Module 1_4_4;229,93;24,30;16,15;33,82;1,02
Module 1_4_5;230,35;32,01;16,16;33,11;1,03
Module 1_4_6;231,13;21,79;16,19;32,82;1,03
Module 1_4_7;229,73;24,18;16,14;33,24;1,02
Module 1_4_8;229,87;33,62;16,14;33,90;1,02
Module 1_4_9;229,96;21,95;16,16;32,98;1,02
Module 1_4_10;230,92;22,87;16,18;33,41;1,03
Module 1_4_11;230,18;24,46;16,16;33,23;1,03
Module 1_4_12;230,07;26,17;16,15;33,06;1,02
Module 1_4_13;230,09;21,70;16,16;32,64;1,02
Module 1_4_14;229,39;20,96;16,13;33,80;1,02
Module 1_4_15;234,16;23,55;16,51;32,58;1,01
Module 1_4_16;231,18;21,10;16,21;33,15;1,03
Module 1_4_17;230,66;22,98;16,19;32,12;1,03
Module 1_4_18;229,48;24,79;16,15;32,78;1,02
Module 1,5_1;230,16;33,99;16,17;33,59;1,05
Module 1,5_2;231,57;22,13;16,03;33,45;1,05
Module 1,5_3;229,92;24,40;16,16;33,57;1,04
Module 1,5_4;230,84;23,97;16,20;33,70;1,04
Module 1,5_5;229,68;23,18;16,16;32,86;1,04
Module 1,5_6;229,63;22,80;16,16;33,81;1,04
Module 1,5_7;226,92;20,86;16,13;31,15;1,03
Module 1,5_8;410,51;9,36;21,56;33,69;1,85
Module 1,5_9;230,34;22,56;16,17;33,52;1,04
Module 1,5_10;227,55;22,06;16,14;32,51;1,03
Module 1,5_11;229,74;24,79;16,16;33,46;1,04
Module 1,5_12;231,02;22,28;16,21;32,34;1,04
Module 1,5_13;230,13;22,08;16,18;32,22;1,04
Module 1,5_14;226,72;32,00;16,02;31,69;1,03
Module 1,5_15;227,59;22,71;16,12;33,25;1,03
Module 1,5_16;229,85;23,84;16,16;33,64;1,04
Module 1,5_17;229,97;25,09;16,17;33,37;1,04
Module 1,5_18;230,50;23,00;16,20;33,09;1,04
Module 1,6_1;226,79;31,46;16,08;33,35;1,04
