module;pmpp;month
Module 1,9_9;175,6437192918188;September_2019
String 1,9;175,2777975889625;September_2019
Module 1,9_2;176,45594829893724;September_2019
Module 1,9_3;176,03506750583824;September_2019
Module 1,9_4;176,04270205091785;September_2019
Module 1,9_5;175,30921393006557;September_2019
Module 1,9_6;177,04335061437405;September_2019
Module 1,9_7;176,241012763649;September_2019
Module 1,9_8;179,27004343406765;September_2019
Module 1,9_1;177,3042747437802;September_2019
Module 1,9_10;173,56437025597972;September_2019
Module 1,9_11;177,1791280357555;September_2019
Module 1,9_12;176,05873452923933;September_2019
Module 1,9_13;174,00619563756854;September_2019
Module 1,9_14;176,80244965689732;September_2019
Module 1,9_15;176,7037275816083;September_2019
Module 1,9_16;176,13806228347136;September_2019
Module 1,9_17;176,6687777637761;September_2019
Module 1,9_18;177,00134942880493;September_2019
