module;pmpp;month
Module 1,1_9;177,15722263790732;September_2019
String 1,1;182,42371936942465;September_2019
Module 1,1_2;175,6655685104489;September_2019
Module 1,1_3;178,4468661452536;September_2019
Module 1,1_4;178,61487507780336;September_2019
Module 1,1_5;178,19353468309734;September_2019
Module 1,1_6;174,1193767235094;September_2019
Module 1,1_7;178,46207122766268;September_2019
Module 1,1_8;178,5525812498467;September_2019
Module 1,1_1;175,96474264282284;September_2019
Module 1,1_10;178,41835925693906;September_2019
Module 1,1_11;173,18368249943558;September_2019
Module 1,1_12;175,55553523950184;September_2019
Module 1,1_13;179,94412994954814;September_2019
Module 1,1_14;180,23485865462322;September_2019
Module 1,1_15;176,61893087055887;September_2019
Module 1,1_16;177,6015398285876;September_2019
Module 1,1_17;175,8428626633532;September_2019
Module 1,1_18;180,07960430063957;September_2019
Module 1,10_9;177,7878931468432;September_2019
String 1,10;182,64689585802034;September_2019
Module 1,10_2;182,98019284297874;September_2019
Module 1,10_3;175,85990694096853;September_2019
Module 1,10_4;176,34255096487308;September_2019
Module 1,10_5;178,0377344220099;September_2019
Module 1,10_6;177,95973916687788;September_2019
Module 1,10_7;175,17674468811953;September_2019
Module 1,10_8;176,7456619883354;September_2019
Module 1,10_1;176,2379578186158;September_2019
Module 1,10_10;179,445602642766;September_2019
Module 1,10_11;178,79591954823167;September_2019
Module 1,10_12;172,65239390794164;September_2019
Module 1,10_13;178,16330620466476;September_2019
Module 1,10_14;177,08851308002411;September_2019
Module 1,10_15;174,91682585313285;September_2019
Module 1,10_16;177,50657315871277;September_2019
Module 1,10_17;182,08386471926897;September_2019
Module 1,10_18;177,84109927566948;September_2019
Module 1,11_9;175,38849566528995;September_2019
String 1,11;168,09426741329494;September_2019
Module 1,11_2;176,2523885806407;September_2019
Module 1,11_3;174,32771579868813;September_2019
Module 1,11_4;174,21913635527758;September_2019
Module 1,11_5;177,5845951394349;September_2019
Module 1,11_6;174,1715488334905;September_2019
Module 1,11_7;174,68608764568665;September_2019
Module 1,11_8;171,36770537968837;September_2019
Module 1,11_1;175,48787212472203;September_2019
Module 1,11_10;179,22074664462178;September_2019
Module 1,11_11;179,05217595074328;September_2019
Module 1,11_12;174,30207448817978;September_2019
Module 1,11_13;175,18066391082846;September_2019
Module 1,11_14;175,0062475798271;September_2019
Module 1,11_15;171,61211460513482;September_2019
Module 1,11_16;175,1753357634012;September_2019
Module 1,11_17;175,24281766729678;September_2019
Module 1,11_18;174,97395165899405;September_2019
Module 1,12_9;180,94718351826106;September_2019
String 1,12;182,2876039300728;September_2019
Module 1,12_2;176,23060317069735;September_2019
Module 1,12_3;175,60803806842034;September_2019
Module 1,12_4;174,32992773759278;September_2019
Module 1,12_5;182,8922963176155;September_2019
Module 1,12_6;178,9611534927834;September_2019
Module 1,12_7;177,89090847703793;September_2019
Module 1,12_8;176,13463801799256;September_2019
Module 1,12_1;178,19909377578466;September_2019
Module 1,12_10;177,48759703158763;September_2019
