date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
01,09.2019 07:36:00;31.7;0;291.5;0.0001;291.35;Module 1,12_16;11.11;0,00;0,00;0,00;0,00;0,00
01,09.2019 07:37:54;27.2;0.06;291.5;0.0001;291.35;Module 1,12_16;12.89;1,63;0,00;0,00;0,00;1,63
01,09.2019 07:39:59;28.2;0.07;291.5;2.916300883177698;291.36;Module 1,12_16;15.18;1,97;1,11;0,01;0,01;1,97
01,09.2019 07:41:57;28.5;0.08;290;3.4157990581620212;291.39;Module 1,12_16;17.78;2,28;1,30;0,01;0,01;2,27
01,09.2019 07:43:49;29.3;0.09;290;3.7116556694988896;291.42;Module 1,12_16;19.32;2,64;1,41;0,01;0,01;2,62
01,09.2019 07:45:42;29.3;0.1;291.5;4.134307971408701;291.44;Module 1,12_16;21.52;2,93;1,57;0,01;0,02;2,91
01,09.2019 07:47:35;30.3;0.11;291.5;4.555039126491648;291.46;Module 1,12_16;23.71;3,33;1,73;0,01;0,02;3,31
01,09.2019 07:49:31;30.7;0.12;291.5;5.388045940994764;291.5;Module 1,12_16;25.52;3,68;2,05;0,01;0,03;3,65
01,09.2019 07:51:24;30.7;0.12;291.5;9.134923136845279;291.54;Module 1,12_16;27.23;3,68;3,48;0,02;0,09;3,60
01,09.2019 07:53:23;30.7;0.13;291.5;12.310130864384455;291.55;Module 1,12_16;28.63;3,99;4,68;0,03;0,16;3,84
01,09.2019 07:55:25;31.1;0.14;292;15.419322916520354;291.58;Module 1,12_16;30.69;4,35;5,87;0,04;0,24;4,11
01,09.2019 07:57:25;31.4;0.15;292;18.223977768877297;291.62;Module 1,12_16;32.68;4,71;6,93;0,05;0,34;4,37
01,09.2019 07:59:18;31.6;0.16;292;20.963127637406316;291.65;Module 1,12_16;34.97;5,06;7,98;0,06;0,45;4,60
01,09.2019 08:01:11;32;0.17;293.5;23.756411564642463;291.7;Module 1,12_16;37.47;5,44;9,05;0,06;0,58;4,86
01,09.2019 08:03:05;32.1;0.18;293.5;26.179617116562554;291.75;Module 1,12_16;39.47;5,78;9,97;0,07;0,71;5,07
01,09.2019 08:04:58;32.3;0.19;293.5;28.840176006092193;291.79;Module 1,12_16;41.92;6,14;10,98;0,08;0,86;5,28
01,09.2019 08:06:51;32.2;0.2;293.5;31.364489124451268;291.83;Module 1,12_16;44.22;6,44;11,94;0,08;1,01;5,43
