date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
01,09.2019 09:39:56;33.2;1.59;302.5;314.9214903210607;298.58;Module 1,3_13;337.91;52,79;34,58;1,44;49,72;3,07
01,09.2019 09:41:51;33.5;1.64;302.5;331.9869528485203;298.81;Module 1,3_13;355.83;54,94;34,64;1,53;52,91;2,03
01,09.2019 09:43:44;33.2;1.57;303.5;310.8155743804756;299.06;Module 1,3_13;332.79;52,12;34,39;1,42;48,74;3,38
01,09.2019 10:16:07;33;2.51;303.5;509.13548083069895;297.75;Module 1,3_13;537.59;82,83;34,72;2,46;85,38;-2,55
01,09.2019 10:20:30;33.3;1.93;303.5;398.18233886391283;298.51;Module 1,3_13;419.83;64,27;34,63;1,88;64,95;-0,68
01,09.2019 10:22:38;32.8;1.53;303.5;478.6283066337102;298.98;Module 1,3_13;504.31;50,18;34,71;2,30;79,78;-29,60
01,09.2019 10:24:34;33.2;1.76;303.5;301.7765594182159;299.63;Module 1,3_13;317.78;58,43;34,35;1,37;47,06;11,37
01,09.2019 10:38:08;32.2;1.27;306.5;305.3556917851131;299.57;Module 1,3_13;320.33;40,89;33,84;1,39;47,11;-6,22
01,09.2019 10:40:03;32.9;2.91;306.5;576.1898435962769;299.76;Module 1,3_13;604.15;95,74;34,19;2,81;96,22;-0,48
01,09.2019 10:41:57;33;3.04;306.5;600.890046104105;300.35;Module 1,3_13;629.75;100,32;34,18;2,94;100,63;-0,31
01,09.2019 10:43:50;32.2;1.29;308.1;290.6696873646571;300.7;Module 1,3_13;304.49;41,54;33,48;1,32;44,12;-2,58
01,09.2019 10:45:43;32.4;3.07;308.1;608.7723294731146;301.21;Module 1,3_13;637.43;99,47;33,89;2,99;101,24;-1,78
01,09.2019 10:47:39;32.4;2.94;308.1;584.5879371299999;301.96;Module 1,3_13;611.83;95,26;33,91;2,86;96,97;-1,72
01,09.2019 10:49:32;32;2.89;308.6;572.605167728301;302.53;Module 1,3_13;599.03;92,48;33,82;2,80;94,62;-2,14
