date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
01,09.2019 09:39:15;37.2;1.41;312.7;311.0829654992335;298.48;Module 1_4_5;332.79;52,45;34,10;1,43;48,92;3,53
01,09.2019 09:41:11;35;1.48;312.7;320.9924607684617;298.72;Module 1_4_5;343.03;51,80;34,13;1,49;50,70;1,10
01,09.2019 09:43:04;34.4;1.52;312.7;311.7192815844037;298.96;Module 1_4_5;332.79;52,29;34,10;1,44;49,04;3,25
01,09.2019 09:44:59;33.2;1.49;312.7;288.23719227494524;299.19;Module 1_4_5;307.42;49,47;34,02;1,32;44,81;4,65
01,09.2019 10:19:50;33.3;1.44;312.7;303.2739280572713;298.32;Module 1_4_5;319.1;47,95;34,08;1,39;47,52;0,43
01,09.2019 10:21:58;33.6;2.97;312.7;445.5183374637503;298.74;Module 1_4_5;468.47;99,79;34,38;2,12;73,01;26,78
01,09.2019 10:23:54;33.7;3.1;313.2;596.7963947819335;299.43;Module 1_4_5;627.19;104,47;34,31;2,90;99,49;4,98
01,09.2019 10:25:46;33.5;2.47;313.2;336.32806614740974;300.05;Module 1_4_5;353.27;82,75;34,09;1,56;53,34;29,41
01,09.2019 10:39:22;33;2.88;315.3;577.1943921522839;299.6;Module 1_4_5;604.15;95,04;33,95;2,80;95,09;-0,05
01,09.2019 10:41:17;33.6;2.93;316.3;584.7945916309154;300.14;Module 1_4_5;611.83;98,45;33,77;2,84;95,94;2,51
01,09.2019 10:45:02;33;3.05;316.3;612.2313691843261;300.96;Module 1_4_5;639.99;100,65;33,76;2,98;100,65;0,00
01,09.2019 10:46:59;32.8;3.09;316.3;614.9438929423584;301.7;Module 1_4_5;642.55;101,35;33,76;3,00;101,11;0,24
01,09.2019 10:48:51;32.6;2.71;316.3;553.9160037363341;302.39;Module 1_4_5;578.55;88,35;33,78;2,68;90,61;-2,27
01,09.2019 10:50:44;32.5;2.94;318.8;598.2713939004075;302.75;Module 1_4_5;624.63;95,55;33,33;2,91;97,03;-1,48
01,09.2019 10:52:40;32.4;2.83;318.8;559.2629593710715;303.03;Module 1_4_5;583.67;91,69;33,34;2,71;90,41;1,29
01,09.2019 10:54:34;31.4;2.98;318.8;574.2011210504387;303.17;Module 1_4_5;599.03;93,57;33,34;2,79;92,95;0,62
01,09.2019 10:56:36;31.5;2.96;320.8;574.4321892761143;303.05;Module 1_4_5;599.03;93,24;32,98;2,79;92,05;1,19
01,09.2019 10:58:31;32.1;3.06;320.8;621.3055573356005;303.37;Module 1_4_5;647.67;98,23;32,97;3,03;99,90;-1,68
01,09.2019 11:00:24;32.4;2.81;321.3;560.1110285193165;303.59;Module 1_4_5;583.67;91,04;32,90;2,72;89,41;1,63
01,09.2019 11:02:17;32.2;3.14;321.3;629.5214693621679;303.57;Module 1_4_5;655.77;101,11;32,88;3,07;101,02;0,09
01,09.2019 11:04:16;32.3;3.32;321.3;662.3425504480778;303.58;Module 1_4_5;689.71;107,24;32,85;3,24;106,46;0,78
01,09.2019 11:06:10;31.7;1.71;322.8;324.61210705849487;303.49;Module 1_4_5;337.91;54,21;32,35;1,51;48,93;5,28
01,09.2019 11:08:03;32.2;3.33;322.8;669.9360240895011;303.22;Module 1_4_5;697.15;107,23;32,59;3,28;106,88;0,35
01,09.2019 11:10:05;32.4;3.27;322.8;664.046746221732;303.01;Module 1_4_5;690.78;105,95;32,59;3,25;105,91;0,04
01,09.2019 11:11:57;32.3;3.29;322.8;660.5823805556254;303.11;Module 1_4_5;686.96;106,27;32,59;3,23;105,34;0,92
01,09.2019 11:13:51;32.3;3.35;322.8;667.0423824944864;303.1;Module 1_4_5;693.46;108,20;32,59;3,27;106,40;1,80
01,09.2019 11:15:44;32.3;3.2;323.3;646.1934133680155;303.14;Module 1_4_5;671.58;103,36;32,52;3,16;102,71;0,65
01,09.2019 11:17:37;32.3;3.33;323.3;670.083779171242;303.38;Module 1_4_5;696.2;107,56;32,49;3,28;106,62;0,94
01,09.2019 11:19:34;32.3;3.29;323.3;665.6667682372312;303.64;Module 1_4_5;691.4;106,27;32,50;3,26;105,90;0,37
01,09.2019 11:21:27;32.3;3.34;323.3;671.7723785144373;303.71;Module 1_4_5;697.54;107,88;32,49;3,29;106,90;0,99
01,09.2019 11:23:21;32.3;3.35;323.3;672.9280743934689;303.78;Module 1_4_5;698.54;108,20;32,49;3,30;107,08;1,12
01,09.2019 11:25:14;32.2;3.37;323.3;675.8233646224834;303.76;Module 1_4_5;701.35;108,51;32,49;3,31;107,56;0,96
01,09.2019 11:27:10;32.1;3.4;323.3;680.0133295217877;303.84;Module 1_4_5;705.5;109,14;32,48;3,33;108,24;0,90
01,09.2019 11:29:04;32;3.39;323.3;681.9717304104558;303.97;Module 1_4_5;707.34;108,48;32,48;3,34;108,56;-0,08
01,09.2019 11:30:57;32;3.46;324.8;693.7630549226094;304.07;Module 1_4_5;719.38;110,72;32,21;3,40;109,60;1,12
01,09.2019 11:32:51;32;3.1;324.8;627.2395776920785;303.82;Module 1_4_5;650.23;99,20;32,26;3,06;98,81;0,39
