moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
String 1,1;306,53;29,56;20,39;30,76;1,40
String 1,2;305,67;29,91;20,27;30,90;1,41
String 1,3;302,74;28,00;20,24;30,88;1,43
String 1,4;309,65;28,68;20,47;31,09;1,46
String 1,5;309,13;26,11;20,36;30,81;1,49
String 1,6;308,22;31,06;20,34;30,98;1,48
String 1,7;309,93;33,77;20,41;31,18;1,48
String 1,8;307,23;29,92;20,30;30,91;1,44
String 1,9;311,52;36,46;20,51;31,34;1,46
String 1,10;304,52;27,31;20,27;30,81;1,46
String 1,11;306,39;32,65;20,34;30,91;1,43
String 1,12;307,28;29,72;20,32;30,84;1,42
String 2,1;306,80;24,21;20,36;30,92;1,42
String 2,2;304,73;36,23;20,25;29,04;1,40
String 2,3;307,13;29,31;20,37;29,37;1,36
String 2,4;308,43;33,38;20,44;31,12;1,39
Module 1,1_1;337,61;28,58;21,00;32,80;1,55
Module 1,1_2;335,90;27,07;21,02;33,17;1,54
Module 1,1_3;336,20;30,18;21,01;32,57;1,54
Module 1,1_4;334,22;37,19;20,98;33,34;1,53
Module 1,1_5;340,34;30,13;21,42;32,61;1,57
Module 1,1_6;322,06;26,11;20,75;32,87;1,48
Module 1,1_7;334,51;29,68;20,98;32,46;1,54
Module 1,1_8;337,76;38,34;21,08;33,26;1,54
Module 1,1_9;337,20;29,71;21,04;33,48;1,54
Module 1,1_10;337,85;29,82;20,98;33,13;1,54
Module 1,1_11;344,40;31,32;21,38;32,31;1,58
Module 1,1_12;320,36;29,64;20,65;31,96;1,49
Module 1,1_13;330,82;30,41;20,84;32,95;1,53
Module 1,1_14;337,19;29,23;21,05;33,37;1,54
Module 1,1_15;338,06;36,84;20,99;32,66;1,55
Module 1,1_16;341,06;30,45;21,01;33,14;1,56
Module 1,1_17;335,30;29,38;21,00;34,21;1,53
Module 1,1_18;339,47;30,37;21,16;32,76;1,56
Module 1,2_1;336,95;29,63;20,99;33,50;1,56
Module 1,2_2;338,76;31,09;21,04;33,20;1,57
Module 1,2_3;338,31;30,36;21,03;33,05;1,57
Module 1,2_4;337,93;28,59;21,01;33,01;1,56
Module 1,2_5;338,10;38,62;21,02;33,94;1,57
Module 1,2_6;338,01;29,51;21,03;33,38;1,56
Module 1,2_7;337,24;31,26;21,00;33,09;1,56
Module 1,2_8;337,88;28,71;21,02;32,32;1,56
Module 1,2_9;338,80;32,41;21,05;32,54;1,57
Module 1,2_10;338,07;30,85;21,01;32,84;1,57
Module 1,2_11;337,77;30,11;21,01;32,75;1,56
Module 1,2_12;338,70;27,92;21,04;32,23;1,57
Module 1,2_13;337,64;28,80;21,01;32,00;1,56
Module 1,2_14;339,39;29,14;21,07;32,29;1,57
Module 1,2_15;338,49;30,56;21,03;32,63;1,57
Module 1,2_16;337,96;30,60;21,02;33,40;1,56
Module 1,2_17;337,46;60,40;21,08;32,94;1,57
Module 1,2_18;338,46;37,80;21,04;33,00;1,57
Module 1,3_1;339,86;39,90;20,97;33,02;1,60
Module 1,3_2;337,28;30,91;21,05;33,35;1,59
Module 1,3_3;336,45;38,55;21,05;33,04;1,59
Module 1,3_4;339,12;32,55;21,23;32,75;1,61
Module 1,3_5;335,86;29,40;21,01;32,70;1,58
Module 1,3_6;337,05;28,63;21,09;32,89;1,59
Module 1,3_7;336,09;28,30;21,02;32,98;1,58
Module 1,3_8;336,92;30,11;21,04;32,90;1,59
Module 1,3_9;335,63;30,52;21,00;33,26;1,58
Module 1,3_10;335,80;37,21;21,01;33,25;1,58
Module 1,3_11;336,73;30,04;21,03;33,03;1,59
Module 1,3_12;336,25;28,82;21,01;33,29;1,58
Module 1,3_13;336,05;29,44;21,01;32,75;1,58
Module 1,3_14;335,56;28,02;21,01;32,76;1,58
Module 1,3_15;335,89;28,09;21,03;32,60;1,58
Module 1,3_16;337,04;29,98;21,03;33,09;1,59
Module 1,3_17;335,89;37,08;21,01;32,91;1,58
Module 1,3_18;337,07;29,93;21,04;32,64;1,59
Module 1_4_1;341,93;63,99;21,30;32,23;1,62
Module 1_4_2;338,73;28,76;21,11;32,99;1,59
Module 1_4_3;256,05;24,68;19,31;31,40;1,22
Module 1_4_4;338,36;30,78;21,06;33,26;1,59
Module 1_4_5;339,56;38,49;21,13;32,57;1,60
Module 1_4_6;338,52;28,15;21,08;32,31;1,59
Module 1_4_7;338,69;30,44;21,10;32,70;1,59
Module 1_4_8;337,76;40,12;21,04;33,38;1,59
Module 1_4_9;339,05;28,69;21,12;32,59;1,60
Module 1_4_10;337,88;29,49;21,05;32,96;1,59
Module 1_4_11;337,86;31,04;21,05;32,74;1,59
Module 1_4_12;338,64;32,78;21,06;32,80;1,59
Module 1_4_13;336,89;27,94;21,02;32,00;1,59
Module 1_4_14;337,82;27,47;21,04;33,38;1,59
Module 1_4_16;337,83;27,53;21,05;33,04;1,59
Module 1_4_17;339,88;29,68;21,10;32,13;1,60
Module 1_4_18;336,89;31,52;21,02;32,67;1,59
Module 1,5_1;339,21;40,27;21,05;33,10;1,63
Module 1,5_2;345,69;28,58;21,03;32,83;1,66
Module 1,5_3;338,72;30,44;21,02;32,79;1,63
Module 1,5_4;339,28;30,05;21,07;32,98;1,63
Module 1,5_5;338,69;29,43;21,04;32,44;1,63
Module 1,5_6;337,95;29,13;21,02;33,23;1,62
Module 1,5_7;338,68;27,61;21,05;31,24;1,63
Module 1,5_8;443,89;12,24;24,02;32,58;2,13
Module 1,5_9;338,31;28,58;21,03;32,96;1,63
Module 1,5_10;338,94;28,42;21,06;32,07;1,63
Module 1,5_11;338,50;31,23;21,03;32,98;1,63
Module 1,5_12;339,18;28,57;21,11;31,77;1,63
Module 1,5_13;338,72;28,47;21,05;31,90;1,63
Module 1,5_14;344,76;38,50;21,05;31,43;1,65
Module 1,5_15;339,97;28,82;21,11;32,63;1,63
Module 1,5_16;337,91;30,01;21,02;33,21;1,62
Module 1,5_17;338,42;31,37;21,04;32,79;1,63
Module 1,5_18;339,68;29,08;21,06;32,67;1,63
Module 1,6_1;334,46;37,53;20,92;32,83;1,60
Module 1,6_2;334,56;28,17;20,93;32,74;1,60
Module 1,6_3;335,10;29,33;20,94;32,29;1,61
Module 1,6_4;334,44;32,02;20,93;32,75;1,60
Module 1,6_5;336,37;37,06;21,01;33,08;1,61
Module 1,6_6;334,32;30,03;20,91;33,20;1,60
Module 1,6_7;334,34;30,71;20,92;33,24;1,60
Module 1,6_8;334,73;31,56;20,93;32,94;1,61
Module 1,6_9;334,94;29,17;20,93;33,00;1,61
Module 1,6_10;334,70;39,07;20,93;32,56;1,61
Module 1,6_11;334,64;28,47;20,92;32,59;1,61
Module 1,6_12;338,24;29,30;21,12;32,11;1,62
Module 1,6_13;333,99;61,83;20,91;32,99;1,60
Module 1,6_14;334,61;28,66;20,93;32,71;1,61
Module 1,6_15;334,52;30,00;20,92;32,98;1,60
Module 1,6_16;334,53;28,19;20,93;32,56;1,61
Module 1,6_17;334,68;27,80;20,92;32,96;1,61
Module 1,6_18;346,94;28,38;20,99;30,84;1,66
Module 1,7_1;341,95;30,08;20,91;32,30;1,63
Module 1,7_2;333,79;29,25;20,91;31,74;1,60
Module 1,7_3;334,09;29,72;20,92;32,52;1,60
Module 1,7_4;334,09;31,70;20,92;32,78;1,60
Module 1,7_5;333,85;38,99;20,91;33,11;1,60
Module 1,7_6;334,26;30,80;20,92;32,73;1,60
Module 1,7_7;335,38;30,25;20,95;32,74;1,61
Module 1,7_8;335,57;31,23;20,98;33,24;1,61
Module 1,7_9;333,63;37,63;20,90;33,02;1,60
Module 1,7_10;334,84;37,19;20,96;32,01;1,60
Module 1,7_11;333,75;30,01;20,91;32,46;1,60
Module 1,7_12;334,25;31,31;20,92;32,15;1,60
Module 1,7_13;334,19;30,47;20,92;32,63;1,60
Module 1,7_14;333,76;30,98;20,91;32,74;1,60
Module 1,7_15;334,00;31,17;20,92;33,21;1,60
Module 1,7_16;334,51;29,36;20,93;32,95;1,60
Module 1,7_17;335,68;30,67;20,97;32,34;1,61
Module 1,7_18;333,78;38,07;20,91;32,68;1,60
Module 1,8_1;334,47;30,05;20,93;32,86;1,57
Module 1,8_2;333,77;33,85;20,93;33,20;1,57
Module 1,8_3;334,91;30,10;20,93;32,62;1,57
Module 1,8_4;343,53;29,38;20,90;32,51;1,60
Module 1,8_5;334,37;31,46;20,94;32,68;1,57
Module 1,8_6;343,20;28,98;20,93;32,45;1,61
Module 1,8_7;335,41;30,18;20,95;32,79;1,57
Module 1,8_8;335,59;31,08;20,94;32,32;1,58
Module 1,8_9;334,36;31,15;20,92;33,30;1,57
Module 1,8_10;333,44;31,60;20,90;33,73;1,56
Module 1,8_11;335,81;30,55;20,94;32,14;1,57
Module 1,8_12;335,64;30,16;20,96;32,66;1,58
Module 1,8_13;42,05;18,21;14,61;31,47;0,21
Module 1,8_14;335,34;32,41;21,22;33,16;1,58
Module 1,8_15;335,70;33,77;21,02;33,06;1,58
Module 1,8_16;334,45;37,66;20,92;32,41;1,57
Module 1,8_17;336,14;29,28;21,02;32,74;1,58
Module 1,8_18;341,81;32,98;21,37;32,24;1,61
Module 1,9_1;341,80;39,22;21,37;32,06;1,60
Module 1,9_2;339,93;30,20;21,06;32,83;1,60
Module 1,9_3;343,36;29,66;21,11;33,07;1,61
Module 1,9_4;334,48;30,11;20,92;33,06;1,57
Module 1,9_5;334,53;29,86;20,93;32,62;1,57
Module 1,9_6;335,12;39,16;20,92;32,50;1,57
Module 1,9_7;347,26;29,71;21,05;32,58;1,63
Module 1,9_8;334,44;31,19;20,93;33,28;1,57
Module 1,9_9;334,63;38,51;20,93;32,66;1,57
Module 1,9_10;345,13;30,14;21,04;32,46;1,62
Module 1,9_11;334,00;31,98;20,91;32,85;1,57
Module 1,9_12;341,97;28,85;21,09;32,10;1,61
Module 1,9_13;342,37;28,31;21,10;32,49;1,61
Module 1,9_14;335,19;37,14;20,96;32,49;1,57
Module 1,9_15;334,73;29,55;20,94;33,19;1,57
Module 1,9_16;349,98;29,39;21,24;33,15;1,64
Module 1,9_17;334,43;29,57;20,92;33,28;1,57
Module 1,9_18;354,68;39,16;21,30;33,61;1,67
Module 1,10_1;333,50;26,40;20,93;32,49;1,60
Module 1,10_2;334,21;33,19;20,96;33,10;1,60
Module 1,10_3;332,86;29,12;20,91;32,58;1,60
Module 1,10_4;333,20;26,09;20,92;32,50;1,60
Module 1,10_5;333,30;29,23;20,91;33,06;1,60
Module 1,10_6;334,85;29,59;21,00;32,22;1,60
Module 1,10_7;333,53;27,90;20,92;32,71;1,60
Module 1,10_8;333,73;29,70;20,94;31,08;1,60
Module 1,10_9;333,53;29,31;20,93;32,91;1,60
Module 1,10_10;333,76;37,62;20,93;33,16;1,60
Module 1,10_11;332,02;29,85;20,90;33,42;1,59
Module 1,10_12;333,01;40,16;20,91;32,77;1,60
Module 1,10_13;332,92;28,08;20,91;32,65;1,60
Module 1,10_14;333,11;27,42;20,91;32,80;1,60
Module 1,10_15;341,24;27,37;20,92;32,57;1,63
Module 1,10_16;334,03;38,80;20,96;32,54;1,60
Module 1,10_17;333,26;30,82;20,92;33,54;1,60
Module 1,10_18;337,82;28,87;21,23;32,07;1,62
Module 1,11_1;329,77;40,81;20,81;32,74;1,55
Module 1,11_2;330,20;29,17;20,82;32,76;1,55
Module 1,11_3;333,77;27,20;20,98;32,44;1,56
Module 1,11_4;331,66;28,23;20,85;32,81;1,56
Module 1,11_5;343,63;29,75;20,79;32,58;1,61
Module 1,11_6;331,39;36,95;20,82;32,99;1,56
Module 1,11_7;333,45;28,40;20,90;32,89;1,57
Module 1,11_8;330,77;27,47;20,91;32,46;1,56
Module 1,11_9;331,27;28,43;20,87;32,78;1,56
Module 1,11_10;332,45;32,64;20,91;32,62;1,56
Module 1,11_11;371,82;32,67;21,77;33,66;1,74
Module 1,11_12;336,49;29,61;20,64;32,40;1,58
Module 1,11_13;331,02;29,00;20,88;32,32;1,55
Module 1,11_14;358,20;29,47;20,72;32,40;1,67
Module 1,11_15;341,54;25,63;20,86;32,52;1,60
Module 1,11_16;332,12;36,21;20,82;33,05;1,56
Module 1,11_17;332,59;28,91;20,85;32,98;1,56
Module 1,11_18;335,39;29,26;20,77;32,40;1,57
Module 1,12_1;341,74;29,07;20,80;32,76;1,59
Module 1,12_2;334,56;30,36;20,78;31,78;1,56
Module 1,12_3;332,57;28,35;20,88;32,63;1,55
Module 1,12_4;333,47;30,17;20,95;31,79;1,56
Module 1,12_5;332,77;30,86;20,84;32,30;1,55
Module 1,12_6;340,08;31,42;21,03;32,55;1,59
Module 1,12_7;333,07;28,62;20,84;33,46;1,55
Module 1,12_8;332,40;29,22;20,84;32,90;1,55
Module 1,12_9;332,30;31,09;20,84;32,68;1,55
Module 1,12_10;332,74;28,47;20,85;32,83;1,56
Module 1,12_11;336,93;29,97;20,86;33,16;1,57
Module 1,12_12;333,20;28,83;20,83;33,00;1,56
Module 1,12_13;337,63;63,14;20,83;32,74;1,57
Module 1,12_14;332,62;28,34;20,83;32,76;1,55
Module 1,12_15;333,30;29,53;20,87;32,16;1,56
Module 1,12_16;332,29;28,78;20,83;33,03;1,55
Module 1,12_17;331,93;30,61;20,76;33,01;1,55
Module 1,12_18;332,16;38,04;20,85;32,36;1,55
Module 2,1_1;316,16;28,35;21,00;30,65;1,50
Module 2,1_2;330,96;39,35;20,99;31,77;1,56
Module 2,1_3;332,83;31,63;20,93;33,48;1,53
Module 2,1_4;333,59;34,07;20,93;33,21;1,53
